"cell_dist","time","episode"
"3.141592653589793","1.5","0"
"3.141592653589793","3","0"
"2.945243112740431","4.5","0"
"2.879793265790644","6","0"
"2.945243112740431","7.5","0"
"2.945243112740431","9","0"
"2.6179938779914944","10.5","0"
"2.5525440310417076","12","0"
"2.5525440310417076","13.5","0"
"2.4870941840919203","15","0"
"2.4870941840919203","16.5","0"
"2.552544031041707","18","0"
"2.7488935718910694","19.5","0"
"2.9452431127404313","21","0"
"3.010692959690218","22.5","0"
"3.0761428066400054","24","0"
"0","25.5","0"
"0","27","0"
"0","28.5","0"
"0","30","0"
"0","31.5","0"
"0","33","0"
"0","34.5","0"
"0","36","0"
"0","37.5","0"
"0","39","0"
"0","40.5","0"
"0","42","0"
"0","43.5","0"
"0","45","0"
"0","46.5","0"
"0","48","0"
"0","49.5","0"
"0","51","0"
"0","52.5","0"
"0","54","0"
"0","55.5","0"
"0","57","0"
"0","58.5","0"
"0","60","0"
"0","61.5","0"
"0","63","0"
"0","64.5","0"
"0","66","0"
"0","67.5","0"
"0","69","0"
"0","70.5","0"
"0","72","0"
"0","73.5","0"
"0","75","0"
"0","76.5","0"
"0","78","0"
"0","79.5","0"
"0","81","0"
"0","82.5","0"
"0","84","0"
"0","85.5","0"
"0","87","0"
"0","88.5","0"
"0","90","0"
"0","91.5","0"
"0","93","0"
"0","94.5","0"
"0","96","0"
"0","97.5","0"
"0","99","0"
"0","100.5","0"
"0","102","0"
"0","103.5","0"
"0","105","0"
"0","106.5","0"
"0","108","0"
"0","109.5","0"
"0","111","0"
"0","112.5","0"
"0","114","0"
"0","115.5","0"
"0","117","0"
"0","118.5","0"
"0","120","0"
"0","121.5","0"
"0","123","0"
"0","124.5","0"
"0","126","0"
"0","127.5","0"
"0","129","0"
"0","130.5","0"
"0","132","0"
"0","133.5","0"
"0","135","0"
"0","136.5","0"
"0","138","0"
"0","139.5","0"
"0","141","0"
"0","142.5","0"
"0","144","0"
"0","145.5","0"
"0","147","0"
"0","148.5","0"
"0","150","0"
"0","151.5","0"
"0","153","0"
"0","154.5","0"
"0","156","0"
"0","157.5","0"
"0","159","0"
"0","160.5","0"
"0","162","0"
"0","163.5","0"
"0","165","0"
"0","166.5","0"
"0","168","0"
"0","169.5","0"
"0","171","0"
"0","172.5","0"
"0","174","0"
"0","175.5","0"
"0","177","0"
"0","178.5","0"
"0","180","0"
"0","181.5","0"
"0","183","0"
"0","184.5","0"
"0","186","0"
"0","187.5","0"
"0","189","0"
"0","190.5","0"
"0","192","0"
"0","193.5","0"
"0","195","0"
"0","196.5","0"
"0","198","0"
"0","199.5","0"
"0","201","0"
"0","202.5","0"
"0","204","0"
"0","205.5","0"
"0","207","0"
"0","208.5","0"
"0","210","0"
"0","211.5","0"
"0","213","0"
"0","214.5","0"
"0","216","0"
"0","217.5","0"
"0","219","0"
"0","220.5","0"
"0","222","0"
"0","223.5","0"
"0","225","0"
"0","226.5","0"
"0","228","0"
"0","229.5","0"
"0","231","0"
"0","232.5","0"
"0","234","0"
"0","235.5","0"
"0","237","0"
"0","238.5","0"
"0","240","0"
"0","241.5","0"
"0","243","0"
"0","244.5","0"
"0","246","0"
"0","247.5","0"
"0","249","0"
"0","250.5","0"
"0","252","0"
"0","253.5","0"
"0","255","0"
"0","256.5","0"
"0","258","0"
"0","259.5","0"
"0","261","0"
"0","262.5","0"
"0","264","0"
"0","265.5","0"
"0","267","0"
"0","268.5","0"
"0","270","0"
"0","271.5","0"
"0","273","0"
"0","274.5","0"
"0","276","0"
"0","277.5","0"
"0","279","0"
"0","280.5","0"
"0","282","0"
"0","283.5","0"
"0","285","0"
"0","286.5","0"
"0","288","0"
"0","289.5","0"
"0","291","0"
"0","292.5","0"
"0","294","0"
"0","295.5","0"
"0","297","0"
"0","298.5","0"
"0","300","0"
"3.1415926535897927","1.5","1"
"3.1415926535897927","3","1"
"3.010692959690219","4.5","1"
"2.8797932657906435","6","1"
"2.8143434188408567","7.5","1"
"2.8143434188408567","9","1"
"2.748893571891069","10.5","1"
"2.748893571891069","12","1"
"2.8143434188408567","13.5","1"
"2.748893571891069","15","1"
"2.8797932657906435","16.5","1"
"2.945243112740431","18","1"
"3.0106929596902186","19.5","1"
"0","21","1"
"0","22.5","1"
"0","24","1"
"0","25.5","1"
"0","27","1"
"0","28.5","1"
"0","30","1"
"0","31.5","1"
"0","33","1"
"0","34.5","1"
"0","36","1"
"0","37.5","1"
"0","39","1"
"0","40.5","1"
"0","42","1"
"0","43.5","1"
"0","45","1"
"0","46.5","1"
"0","48","1"
"0","49.5","1"
"0","51","1"
"0","52.5","1"
"0","54","1"
"0","55.5","1"
"0","57","1"
"0","58.5","1"
"0","60","1"
"0","61.5","1"
"0","63","1"
"0","64.5","1"
"0","66","1"
"0","67.5","1"
"0","69","1"
"0","70.5","1"
"0","72","1"
"0","73.5","1"
"0","75","1"
"0","76.5","1"
"0","78","1"
"0","79.5","1"
"0","81","1"
"0","82.5","1"
"0","84","1"
"0","85.5","1"
"0","87","1"
"0","88.5","1"
"0","90","1"
"0","91.5","1"
"0","93","1"
"0","94.5","1"
"0","96","1"
"0","97.5","1"
"0","99","1"
"0","100.5","1"
"0","102","1"
"0","103.5","1"
"0","105","1"
"0","106.5","1"
"0","108","1"
"0","109.5","1"
"0","111","1"
"0","112.5","1"
"0","114","1"
"0","115.5","1"
"0","117","1"
"0","118.5","1"
"0","120","1"
"0","121.5","1"
"0","123","1"
"0","124.5","1"
"0","126","1"
"0","127.5","1"
"0","129","1"
"0","130.5","1"
"0","132","1"
"0","133.5","1"
"0","135","1"
"0","136.5","1"
"0","138","1"
"0","139.5","1"
"0","141","1"
"0","142.5","1"
"0","144","1"
"0","145.5","1"
"0","147","1"
"0","148.5","1"
"0","150","1"
"0","151.5","1"
"0","153","1"
"0","154.5","1"
"0","156","1"
"0","157.5","1"
"0","159","1"
"0","160.5","1"
"0","162","1"
"0","163.5","1"
"0","165","1"
"0","166.5","1"
"0","168","1"
"0","169.5","1"
"0","171","1"
"0","172.5","1"
"0","174","1"
"0","175.5","1"
"0","177","1"
"0","178.5","1"
"0","180","1"
"0","181.5","1"
"0","183","1"
"0","184.5","1"
"0","186","1"
"0","187.5","1"
"0","189","1"
"0","190.5","1"
"0","192","1"
"0","193.5","1"
"0","195","1"
"0","196.5","1"
"0","198","1"
"0","199.5","1"
"0","201","1"
"0","202.5","1"
"0","204","1"
"0","205.5","1"
"0","207","1"
"0","208.5","1"
"0","210","1"
"0","211.5","1"
"0","213","1"
"0","214.5","1"
"0","216","1"
"0","217.5","1"
"0","219","1"
"0","220.5","1"
"0","222","1"
"0","223.5","1"
"0","225","1"
"0","226.5","1"
"0","228","1"
"0","229.5","1"
"0","231","1"
"0","232.5","1"
"0","234","1"
"0","235.5","1"
"0","237","1"
"0","238.5","1"
"0","240","1"
"0","241.5","1"
"0","243","1"
"0","244.5","1"
"0","246","1"
"0","247.5","1"
"0","249","1"
"0","250.5","1"
"0","252","1"
"0","253.5","1"
"0","255","1"
"0","256.5","1"
"0","258","1"
"0","259.5","1"
"0","261","1"
"0","262.5","1"
"0","264","1"
"0","265.5","1"
"0","267","1"
"0","268.5","1"
"0","270","1"
"0","271.5","1"
"0","273","1"
"0","274.5","1"
"0","276","1"
"0","277.5","1"
"0","279","1"
"0","280.5","1"
"0","282","1"
"0","283.5","1"
"0","285","1"
"0","286.5","1"
"0","288","1"
"0","289.5","1"
"0","291","1"
"0","292.5","1"
"0","294","1"
"0","295.5","1"
"0","297","1"
"0","298.5","1"
"0","300","1"
"3.141592653589793","1.5","2"
"3.141592653589793","3","2"
"3.0106929596902177","4.5","2"
"2.879793265790644","6","2"
"2.814343418840857","7.5","2"
"2.7488935718910694","9","2"
"2.7488935718910694","10.5","2"
"2.7488935718910685","12","2"
"2.7488935718910685","13.5","2"
"2.8143434188408563","15","2"
"2.945243112740431","16.5","2"
"3.0761428066400054","18","2"
"3.0761428066400054","19.5","2"
"0","21","2"
"0","22.5","2"
"0","24","2"
"0","25.5","2"
"0","27","2"
"0","28.5","2"
"0","30","2"
"0","31.5","2"
"0","33","2"
"0","34.5","2"
"0","36","2"
"0","37.5","2"
"0","39","2"
"0","40.5","2"
"0","42","2"
"0","43.5","2"
"0","45","2"
"0","46.5","2"
"0","48","2"
"0","49.5","2"
"0","51","2"
"0","52.5","2"
"0","54","2"
"0","55.5","2"
"0","57","2"
"0","58.5","2"
"0","60","2"
"0","61.5","2"
"0","63","2"
"0","64.5","2"
"0","66","2"
"0","67.5","2"
"0","69","2"
"0","70.5","2"
"0","72","2"
"0","73.5","2"
"0","75","2"
"0","76.5","2"
"0","78","2"
"0","79.5","2"
"0","81","2"
"0","82.5","2"
"0","84","2"
"0","85.5","2"
"0","87","2"
"0","88.5","2"
"0","90","2"
"0","91.5","2"
"0","93","2"
"0","94.5","2"
"0","96","2"
"0","97.5","2"
"0","99","2"
"0","100.5","2"
"0","102","2"
"0","103.5","2"
"0","105","2"
"0","106.5","2"
"0","108","2"
"0","109.5","2"
"0","111","2"
"0","112.5","2"
"0","114","2"
"0","115.5","2"
"0","117","2"
"0","118.5","2"
"0","120","2"
"0","121.5","2"
"0","123","2"
"0","124.5","2"
"0","126","2"
"0","127.5","2"
"0","129","2"
"0","130.5","2"
"0","132","2"
"0","133.5","2"
"0","135","2"
"0","136.5","2"
"0","138","2"
"0","139.5","2"
"0","141","2"
"0","142.5","2"
"0","144","2"
"0","145.5","2"
"0","147","2"
"0","148.5","2"
"0","150","2"
"0","151.5","2"
"0","153","2"
"0","154.5","2"
"0","156","2"
"0","157.5","2"
"0","159","2"
"0","160.5","2"
"0","162","2"
"0","163.5","2"
"0","165","2"
"0","166.5","2"
"0","168","2"
"0","169.5","2"
"0","171","2"
"0","172.5","2"
"0","174","2"
"0","175.5","2"
"0","177","2"
"0","178.5","2"
"0","180","2"
"0","181.5","2"
"0","183","2"
"0","184.5","2"
"0","186","2"
"0","187.5","2"
"0","189","2"
"0","190.5","2"
"0","192","2"
"0","193.5","2"
"0","195","2"
"0","196.5","2"
"0","198","2"
"0","199.5","2"
"0","201","2"
"0","202.5","2"
"0","204","2"
"0","205.5","2"
"0","207","2"
"0","208.5","2"
"0","210","2"
"0","211.5","2"
"0","213","2"
"0","214.5","2"
"0","216","2"
"0","217.5","2"
"0","219","2"
"0","220.5","2"
"0","222","2"
"0","223.5","2"
"0","225","2"
"0","226.5","2"
"0","228","2"
"0","229.5","2"
"0","231","2"
"0","232.5","2"
"0","234","2"
"0","235.5","2"
"0","237","2"
"0","238.5","2"
"0","240","2"
"0","241.5","2"
"0","243","2"
"0","244.5","2"
"0","246","2"
"0","247.5","2"
"0","249","2"
"0","250.5","2"
"0","252","2"
"0","253.5","2"
"0","255","2"
"0","256.5","2"
"0","258","2"
"0","259.5","2"
"0","261","2"
"0","262.5","2"
"0","264","2"
"0","265.5","2"
"0","267","2"
"0","268.5","2"
"0","270","2"
"0","271.5","2"
"0","273","2"
"0","274.5","2"
"0","276","2"
"0","277.5","2"
"0","279","2"
"0","280.5","2"
"0","282","2"
"0","283.5","2"
"0","285","2"
"0","286.5","2"
"0","288","2"
"0","289.5","2"
"0","291","2"
"0","292.5","2"
"0","294","2"
"0","295.5","2"
"0","297","2"
"0","298.5","2"
"0","300","2"
"3.1415926535897927","1.5","3"
"3.1415926535897927","3","3"
"3.010692959690219","4.5","3"
"2.8797932657906435","6","3"
"2.8143434188408567","7.5","3"
"2.8143434188408567","9","3"
"2.748893571891069","10.5","3"
"2.748893571891069","12","3"
"2.8143434188408567","13.5","3"
"2.748893571891069","15","3"
"2.8797932657906435","16.5","3"
"2.945243112740431","18","3"
"3.0106929596902186","19.5","3"
"0","21","3"
"0","22.5","3"
"0","24","3"
"0","25.5","3"
"0","27","3"
"0","28.5","3"
"0","30","3"
"0","31.5","3"
"0","33","3"
"0","34.5","3"
"0","36","3"
"0","37.5","3"
"0","39","3"
"0","40.5","3"
"0","42","3"
"0","43.5","3"
"0","45","3"
"0","46.5","3"
"0","48","3"
"0","49.5","3"
"0","51","3"
"0","52.5","3"
"0","54","3"
"0","55.5","3"
"0","57","3"
"0","58.5","3"
"0","60","3"
"0","61.5","3"
"0","63","3"
"0","64.5","3"
"0","66","3"
"0","67.5","3"
"0","69","3"
"0","70.5","3"
"0","72","3"
"0","73.5","3"
"0","75","3"
"0","76.5","3"
"0","78","3"
"0","79.5","3"
"0","81","3"
"0","82.5","3"
"0","84","3"
"0","85.5","3"
"0","87","3"
"0","88.5","3"
"0","90","3"
"0","91.5","3"
"0","93","3"
"0","94.5","3"
"0","96","3"
"0","97.5","3"
"0","99","3"
"0","100.5","3"
"0","102","3"
"0","103.5","3"
"0","105","3"
"0","106.5","3"
"0","108","3"
"0","109.5","3"
"0","111","3"
"0","112.5","3"
"0","114","3"
"0","115.5","3"
"0","117","3"
"0","118.5","3"
"0","120","3"
"0","121.5","3"
"0","123","3"
"0","124.5","3"
"0","126","3"
"0","127.5","3"
"0","129","3"
"0","130.5","3"
"0","132","3"
"0","133.5","3"
"0","135","3"
"0","136.5","3"
"0","138","3"
"0","139.5","3"
"0","141","3"
"0","142.5","3"
"0","144","3"
"0","145.5","3"
"0","147","3"
"0","148.5","3"
"0","150","3"
"0","151.5","3"
"0","153","3"
"0","154.5","3"
"0","156","3"
"0","157.5","3"
"0","159","3"
"0","160.5","3"
"0","162","3"
"0","163.5","3"
"0","165","3"
"0","166.5","3"
"0","168","3"
"0","169.5","3"
"0","171","3"
"0","172.5","3"
"0","174","3"
"0","175.5","3"
"0","177","3"
"0","178.5","3"
"0","180","3"
"0","181.5","3"
"0","183","3"
"0","184.5","3"
"0","186","3"
"0","187.5","3"
"0","189","3"
"0","190.5","3"
"0","192","3"
"0","193.5","3"
"0","195","3"
"0","196.5","3"
"0","198","3"
"0","199.5","3"
"0","201","3"
"0","202.5","3"
"0","204","3"
"0","205.5","3"
"0","207","3"
"0","208.5","3"
"0","210","3"
"0","211.5","3"
"0","213","3"
"0","214.5","3"
"0","216","3"
"0","217.5","3"
"0","219","3"
"0","220.5","3"
"0","222","3"
"0","223.5","3"
"0","225","3"
"0","226.5","3"
"0","228","3"
"0","229.5","3"
"0","231","3"
"0","232.5","3"
"0","234","3"
"0","235.5","3"
"0","237","3"
"0","238.5","3"
"0","240","3"
"0","241.5","3"
"0","243","3"
"0","244.5","3"
"0","246","3"
"0","247.5","3"
"0","249","3"
"0","250.5","3"
"0","252","3"
"0","253.5","3"
"0","255","3"
"0","256.5","3"
"0","258","3"
"0","259.5","3"
"0","261","3"
"0","262.5","3"
"0","264","3"
"0","265.5","3"
"0","267","3"
"0","268.5","3"
"0","270","3"
"0","271.5","3"
"0","273","3"
"0","274.5","3"
"0","276","3"
"0","277.5","3"
"0","279","3"
"0","280.5","3"
"0","282","3"
"0","283.5","3"
"0","285","3"
"0","286.5","3"
"0","288","3"
"0","289.5","3"
"0","291","3"
"0","292.5","3"
"0","294","3"
"0","295.5","3"
"0","297","3"
"0","298.5","3"
"0","300","3"
"3.1415926535897927","1.5","4"
"3.1415926535897927","3","4"
"3.010692959690219","4.5","4"
"2.8797932657906435","6","4"
"2.8143434188408567","7.5","4"
"2.8143434188408567","9","4"
"2.748893571891069","10.5","4"
"2.748893571891069","12","4"
"2.8143434188408567","13.5","4"
"2.748893571891069","15","4"
"2.8797932657906435","16.5","4"
"2.945243112740431","18","4"
"3.0106929596902186","19.5","4"
"0","21","4"
"0","22.5","4"
"0","24","4"
"0","25.5","4"
"0","27","4"
"0","28.5","4"
"0","30","4"
"0","31.5","4"
"0","33","4"
