"ep0/time","earnest-firebrand-15 - _step","earnest-firebrand-15 - _step__MIN","earnest-firebrand-15 - _step__MAX","earnest-firebrand-15 - ep0/nusselt_obs","earnest-firebrand-15 - ep0/nusselt_obs__MIN","earnest-firebrand-15 - ep0/nusselt_obs__MAX"
"1.5","0","0","0","5.867420557556033e-13","5.867420557556033e-13","5.867420557556033e-13"
"3","1","1","1","1.19051358759659e-12","1.19051358759659e-12","1.19051358759659e-12"
"4.5","2","2","2","3.066849480848951e-12","3.066849480848951e-12","3.066849480848951e-12"
"6","3","3","3","8.720627603995829e-12","8.720627603995829e-12","8.720627603995829e-12"
"7.5","4","4","4","2.6250126905328325e-11","2.6250126905328325e-11","2.6250126905328325e-11"
"9","5","5","5","8.668920485141212e-11","8.668920485141212e-11","8.668920485141212e-11"
"10.5","6","6","6","2.995078173869096e-10","2.995078173869096e-10","2.995078173869096e-10"
"12","7","7","7","1.0687436906399039e-9","1.0687436906399039e-9","1.0687436906399039e-9"
"13.5","8","8","8","3.9317846579571715e-9","3.9317846579571715e-9","3.9317846579571715e-9"
"15","9","9","9","1.4759766651493046e-8","1.4759766651493046e-8","1.4759766651493046e-8"
"16.5","10","10","10","5.6411652762642106e-8","5.6411652762642106e-8","5.6411652762642106e-8"
"18","11","11","11","2.1864161699408474e-7","2.1864161699408474e-7","2.1864161699408474e-7"
"19.5","12","12","12","8.576644329731663e-7","8.576644329731663e-7","8.576644329731663e-7"
"21","13","13","13","0.0000033977317128403566","0.0000033977317128403566","0.0000033977317128403566"
"22.5","14","14","14","0.000013575930430666421","0.000013575930430666421","0.000013575930430666421"
"24","15","15","15","0.00005465018148678537","0.00005465018148678537","0.00005465018148678537"
"25.5","16","16","16","0.0002214393095215554","0.0002214393095215554","0.0002214393095215554"
"27","17","17","17","0.0009024665964891161","0.0009024665964891161","0.0009024665964891161"
"28.5","18","18","18","0.0036965168152258946","0.0036965168152258946","0.0036965168152258946"
"30","19","19","19","0.015200469150175014","0.015200469150175014","0.015200469150175014"
"31.5","20","20","20","0.06257118740082612","0.06257118740082612","0.06257118740082612"
"33","21","21","21","0.2552097634618606","0.2552097634618606","0.2552097634618606"
"34.5","22","22","22","0.9920542233794726","0.9920542233794726","0.9920542233794726"
"36","23","23","23","3.2163630280333266","3.2163630280333266","3.2163630280333266"
"37.5","24","24","24","6.325758052634781","6.325758052634781","6.325758052634781"
"39","25","25","25","5.859468967225623","5.859468967225623","5.859468967225623"
"40.5","26","26","26","4.539088070826013","4.539088070826013","4.539088070826013"
"42","27","27","27","3.7234669405026866","3.7234669405026866","3.7234669405026866"
"43.5","28","28","28","3.120172300758854","3.120172300758854","3.120172300758854"
"45","29","29","29","3.407966528932874","3.407966528932874","3.407966528932874"
"46.5","30","30","30","4.109882689425398","4.109882689425398","4.109882689425398"
"48","31","31","31","4.137235739213512","4.137235739213512","4.137235739213512"
"49.5","32","32","32","3.7549787385055087","3.7549787385055087","3.7549787385055087"
"51","33","33","33","3.562657749905275","3.562657749905275","3.562657749905275"
"52.5","34","34","34","3.6289558575457637","3.6289558575457637","3.6289558575457637"
"54","35","35","35","3.7588616497892406","3.7588616497892406","3.7588616497892406"
"55.5","36","36","36","3.7925916754053492","3.7925916754053492","3.7925916754053492"
"57","37","37","37","3.765137641249285","3.765137641249285","3.765137641249285"
"58.5","38","38","38","3.7791408069384413","3.7791408069384413","3.7791408069384413"
"60","39","39","39","3.818454894086043","3.818454894086043","3.818454894086043"
"61.5","40","40","40","3.722613871937622","3.722613871937622","3.722613871937622"
"63","41","41","41","3.457258120978118","3.457258120978118","3.457258120978118"
