"ep0/time","clean-water-16 - _step","clean-water-16 - _step__MIN","clean-water-16 - _step__MAX","clean-water-16 - ep0/nusselt_obs","clean-water-16 - ep0/nusselt_obs__MIN","clean-water-16 - ep0/nusselt_obs__MAX"
"1.5","0","0","0","7.21614899918053e-12","7.21614899918053e-12","7.21614899918053e-12"
"3","1","1","1","1.6292635178384396e-11","1.6292635178384396e-11","1.6292635178384396e-11"
"4.5","2","2","2","4.915205984635402e-11","4.915205984635402e-11","4.915205984635402e-11"
"6","3","3","3","1.7021102860383975e-10","1.7021102860383975e-10","1.7021102860383975e-10"
"7.5","4","4","4","6.271097905354404e-10","6.271097905354404e-10","6.271097905354404e-10"
"9","5","5","5","2.4103698817731023e-9","2.4103698817731023e-9","2.4103698817731023e-9"
"10.5","6","6","6","9.53119122975286e-9","9.53119122975286e-9","9.53119122975286e-9"
"12","7","7","7","3.8659914077104876e-8","3.8659914077104876e-8","3.8659914077104876e-8"
"13.5","8","8","8","1.5988589443467552e-7","1.5988589443467552e-7","1.5988589443467552e-7"
"15","9","9","9","6.730562542092778e-7","6.730562542092778e-7","6.730562542092778e-7"
"16.5","10","10","10","0.0000028795352485443293","0.0000028795352485443293","0.0000028795352485443293"
"18","11","11","11","0.000012513265035661005","0.000012513265035661005","0.000012513265035661005"
"19.5","12","12","12","0.000055197241440875986","0.000055197241440875986","0.000055197241440875986"
"21","13","13","13","0.0002470514394281287","0.0002470514394281287","0.0002470514394281287"
"22.5","14","14","14","0.0011216375020206156","0.0011216375020206156","0.0011216375020206156"
"24","15","15","15","0.0051634225287011","0.0051634225287011","0.0051634225287011"
"25.5","16","16","16","0.02408563531207268","0.02408563531207268","0.02408563531207268"
"27","17","17","17","0.11360452137335396","0.11360452137335396","0.11360452137335396"
"28.5","18","18","18","0.5372482576421357","0.5372482576421357","0.5372482576421357"
"30","19","19","19","2.4637549475149303","2.4637549475149303","2.4637549475149303"
"31.5","20","20","20","9.605897645729147","9.605897645729147","9.605897645729147"
"33","21","21","21","20.809422856221726","20.809422856221726","20.809422856221726"
"34.5","22","22","22","16.84785079393837","16.84785079393837","16.84785079393837"
"36","23","23","23","6.503793383876302","6.503793383876302","6.503793383876302"
"37.5","24","24","24","4.337394072376217","4.337394072376217","4.337394072376217"
"39","25","25","25","6.560038234572016","6.560038234572016","6.560038234572016"
"40.5","26","26","26","10.421691675156552","10.421691675156552","10.421691675156552"
"42","27","27","27","9.37010797189933","9.37010797189933","9.37010797189933"
"43.5","28","28","28","8.031154679644047","8.031154679644047","8.031154679644047"
"45","29","29","29","8.064655382393028","8.064655382393028","8.064655382393028"
"46.5","30","30","30","5.882628586156878","5.882628586156878","5.882628586156878"
"48","31","31","31","3.5437148730560586","3.5437148730560586","3.5437148730560586"
"49.5","32","32","32","4.501080283079097","4.501080283079097","4.501080283079097"
"51","33","33","33","6.71680145623096","6.71680145623096","6.71680145623096"
"52.5","34","34","34","9.436866915081685","9.436866915081685","9.436866915081685"
"54","35","35","35","8.066888302620681","8.066888302620681","8.066888302620681"
"55.5","36","36","36","6.914863106695419","6.914863106695419","6.914863106695419"
"57","37","37","37","7.599046422850369","7.599046422850369","7.599046422850369"
"58.5","38","38","38","7.751007707917336","7.751007707917336","7.751007707917336"
"60","39","39","39","8.673453616397438","8.673453616397438","8.673453616397438"
"61.5","40","40","40","7.474856929111843","7.474856929111843","7.474856929111843"
"63","41","41","41","5.765388693179853","5.765388693179853","5.765388693179853"
"64.5","42","42","42","6.431074894387831","6.431074894387831","6.431074894387831"
"66","43","43","43","8.599035426651811","8.599035426651811","8.599035426651811"
"67.5","44","44","44","9.589542281236684","9.589542281236684","9.589542281236684"
"69","45","45","45","8.880709615281082","8.880709615281082","8.880709615281082"
"70.5","46","46","46","6.877710192115245","6.877710192115245","6.877710192115245"
"72","47","47","47","5.797945665574396","5.797945665574396","5.797945665574396"
"73.5","48","48","48","7.2456709037151645","7.2456709037151645","7.2456709037151645"
"75","49","49","49","9.417243237424403","9.417243237424403","9.417243237424403"
"76.5","50","50","50","9.80096449234822","9.80096449234822","9.80096449234822"
"78","51","51","51","7.2648387325067265","7.2648387325067265","7.2648387325067265"
"79.5","52","52","52","4.919585516910094","4.919585516910094","4.919585516910094"
"81","53","53","53","6.171448020952722","6.171448020952722","6.171448020952722"
"82.5","54","54","54","9.50928429791399","9.50928429791399","9.50928429791399"
"84","55","55","55","10.929023372557033","10.929023372557033","10.929023372557033"
"85.5","56","56","56","7.546750455355757","7.546750455355757","7.546750455355757"
"87","57","57","57","4.099406960608835","4.099406960608835","4.099406960608835"
"88.5","58","58","58","5.6154484202191775","5.6154484202191775","5.6154484202191775"
"90","59","59","59","9.83163104717638","9.83163104717638","9.83163104717638"
"91.5","60","60","60","11.500070421145612","11.500070421145612","11.500070421145612"
"93","61","61","61","7.093378450607372","7.093378450607372","7.093378450607372"
"94.5","62","62","62","3.1707940329875166","3.1707940329875166","3.1707940329875166"
"96","63","63","63","5.645271285038567","5.645271285038567","5.645271285038567"
"97.5","64","64","64","10.665037105536882","10.665037105536882","10.665037105536882"
"99","65","65","65","11.471506192005194","11.471506192005194","11.471506192005194"
"100.5","66","66","66","5.897846546128171","5.897846546128171","5.897846546128171"
"102","67","67","67","3.1239596277138184","3.1239596277138184","3.1239596277138184"
"103.5","68","68","68","6.780594671333419","6.780594671333419","6.780594671333419"
"105","69","69","69","11.389873269941571","11.389873269941571","11.389873269941571"
"106.5","70","70","70","10.338115112091414","10.338115112091414","10.338115112091414"
"108","71","71","71","4.627762407696341","4.627762407696341","4.627762407696341"
"109.5","72","72","72","3.9491308379162806","3.9491308379162806","3.9491308379162806"
"111","73","73","73","8.3028726362364","8.3028726362364","8.3028726362364"
"112.5","74","74","74","11.079939408495143","11.079939408495143","11.079939408495143"
"114","75","75","75","7.745548856149137","7.745548856149137","7.745548856149137"
"115.5","76","76","76","4.125464760202167","4.125464760202167","4.125464760202167"
"117","77","77","77","6.212478361344234","6.212478361344234","6.212478361344234"
"118.5","78","78","78","9.727686663981268","9.727686663981268","9.727686663981268"
"120","79","79","79","8.888179622963882","8.888179622963882","8.888179622963882"
"121.5","80","80","80","5.090709702672777","5.090709702672777","5.090709702672777"
"123","81","81","81","5.529625631067603","5.529625631067603","5.529625631067603"
"124.5","82","82","82","8.980874148962597","8.980874148962597","8.980874148962597"
"126","83","83","83","9.018051704022","9.018051704022","9.018051704022"
"127.5","84","84","84","4.91218203852121","4.91218203852121","4.91218203852121"
"129","85","85","85","4.649002007981404","4.649002007981404","4.649002007981404"
"130.5","86","86","86","8.942491181659356","8.942491181659356","8.942491181659356"
"132","87","87","87","10.247731863044296","10.247731863044296","10.247731863044296"
"133.5","88","88","88","5.149616217934712","5.149616217934712","5.149616217934712"
"135","89","89","89","3.190128677823453","3.190128677823453","3.190128677823453"
"136.5","90","90","90","7.985845273629779","7.985845273629779","7.985845273629779"
"138","91","91","91","11.409017936682657","11.409017936682657","11.409017936682657"
"139.5","92","92","92","6.793331335046439","6.793331335046439","6.793331335046439"
"141","93","93","93","2.4615506102431817","2.4615506102431817","2.4615506102431817"
"142.5","94","94","94","6.3778179482033215","6.3778179482033215","6.3778179482033215"
