"ep0/time","fiery-meadow-18 - _step","fiery-meadow-18 - _step__MIN","fiery-meadow-18 - _step__MAX","fiery-meadow-18 - ep0/nusselt_obs","fiery-meadow-18 - ep0/nusselt_obs__MIN","fiery-meadow-18 - ep0/nusselt_obs__MAX"
"1.5","0","0","0","3.0470134118040066e-10","3.0470134118040066e-10","3.0470134118040066e-10"
"3","1","1","1","7.920434602848915e-10","7.920434602848915e-10","7.920434602848915e-10"
"4.5","2","2","2","3.204729693932852e-9","3.204729693932852e-9","3.204729693932852e-9"
"6","3","3","3","1.7185682366199273e-8","1.7185682366199273e-8","1.7185682366199273e-8"
"7.5","4","4","4","1.0786191863891226e-7","1.0786191863891226e-7","1.0786191863891226e-7"
"9","5","5","5","7.367355969733784e-7","7.367355969733784e-7","7.367355969733784e-7"
"10.5","6","6","6","0.000005289645192225859","0.000005289645192225859","0.000005289645192225859"
"12","7","7","7","0.00003906795438094386","0.00003906795438094386","0.00003906795438094386"
"13.5","8","8","8","0.00029395380082183816","0.00029395380082183816","0.00029395380082183816"
"15","9","9","9","0.002238462419247811","0.002238462419247811","0.002238462419247811"
"16.5","10","10","10","0.01718164513750523","0.01718164513750523","0.01718164513750523"
"18","11","11","11","0.13256047939607404","0.13256047939607404","0.13256047939607404"
"19.5","12","12","12","1.022939894104498","1.022939894104498","1.022939894104498"
"21","13","13","13","7.307900626299166","7.307900626299166","7.307900626299166"
"22.5","14","14","14","31.693433185327535","31.693433185327535","31.693433185327535"
"24","15","15","15","48.42720723500911","48.42720723500911","48.42720723500911"
"25.5","16","16","16","36.447062582179186","36.447062582179186","36.447062582179186"
"27","17","17","17","54.925136538335245","54.925136538335245","54.925136538335245"
"28.5","18","18","18","85.6768949780745","85.6768949780745","85.6768949780745"
"30","19","19","19","74.97362088573591","74.97362088573591","74.97362088573591"
"31.5","20","20","20","46.10435470343549","46.10435470343549","46.10435470343549"
"33","21","21","21","17.73602838841455","17.73602838841455","17.73602838841455"
"34.5","22","22","22","7.704434390006168","7.704434390006168","7.704434390006168"
"36","23","23","23","8.108606158586708","8.108606158586708","8.108606158586708"
"37.5","24","24","24","8.871971930864303","8.871971930864303","8.871971930864303"
"39","25","25","25","15.576132157224748","15.576132157224748","15.576132157224748"
"40.5","26","26","26","20.914678965443677","20.914678965443677","20.914678965443677"
"42","27","27","27","17.54773316476279","17.54773316476279","17.54773316476279"
"43.5","28","28","28","14.940174491562525","14.940174491562525","14.940174491562525"
"45","29","29","29","21.53169559866102","21.53169559866102","21.53169559866102"
"46.5","30","30","30","24.59433387651712","24.59433387651712","24.59433387651712"
"48","31","31","31","23.478741738179036","23.478741738179036","23.478741738179036"
"49.5","32","32","32","22.90559212491062","22.90559212491062","22.90559212491062"
"51","33","33","33","13.275233172593046","13.275233172593046","13.275233172593046"
"52.5","34","34","34","3.7874132864170584","3.7874132864170584","3.7874132864170584"
"54","35","35","35","6.667172420039567","6.667172420039567","6.667172420039567"
"55.5","36","36","36","19.758763736877288","19.758763736877288","19.758763736877288"
"57","37","37","37","23.961831280980753","23.961831280980753","23.961831280980753"
"58.5","38","38","38","22.107049278348605","22.107049278348605","22.107049278348605"
"60","39","39","39","15.285808695332959","15.285808695332959","15.285808695332959"
"61.5","40","40","40","15.052616725839997","15.052616725839997","15.052616725839997"
"63","41","41","41","19.669379696268802","19.669379696268802","19.669379696268802"
"64.5","42","42","42","15.004233547663022","15.004233547663022","15.004233547663022"
"66","43","43","43","15.360748695929663","15.360748695929663","15.360748695929663"
"67.5","44","44","44","17.046059770240245","17.046059770240245","17.046059770240245"
"69","45","45","45","21.443592181624144","21.443592181624144","21.443592181624144"
"70.5","46","46","46","15.848945051912871","15.848945051912871","15.848945051912871"
"72","47","47","47","12.419361077475228","12.419361077475228","12.419361077475228"
"73.5","48","48","48","13.339329689110944","13.339329689110944","13.339329689110944"
"75","49","49","49","18.056923035595446","18.056923035595446","18.056923035595446"
"76.5","50","50","50","26.67309084361662","26.67309084361662","26.67309084361662"
"78","51","51","51","21.96565101259275","21.96565101259275","21.96565101259275"
