"ep0/time","sleek-dew-647-134988 - _step","sleek-dew-647-134988 - _step__MIN","sleek-dew-647-134988 - _step__MAX","sleek-dew-647-134988 - ep0/nusselt_obs","sleek-dew-647-134988 - ep0/nusselt_obs__MIN","sleek-dew-647-134988 - ep0/nusselt_obs__MAX"
"1.5","0","0","0","3.6799965985815604","3.6799965985815604","3.6799965985815604"
"3","1","1","1","3.6619874079502135","3.6619874079502135","3.6619874079502135"
"4.5","2","2","2","3.7035870456230686","3.7035870456230686","3.7035870456230686"
"6","3","3","3","3.5880381760367235","3.5880381760367235","3.5880381760367235"
"7.5","4","4","4","3.49774786564396","3.49774786564396","3.49774786564396"
"9","5","5","5","3.4826201579808345","3.4826201579808345","3.4826201579808345"
"10.5","6","6","6","3.5658356406942406","3.5658356406942406","3.5658356406942406"
"12","7","7","7","3.6812127745190404","3.6812127745190404","3.6812127745190404"
"13.5","8","8","8","3.6985428141079044","3.6985428141079044","3.6985428141079044"
"15","9","9","9","3.6377358873148062","3.6377358873148062","3.6377358873148062"
"16.5","10","10","10","3.5941910538383093","3.5941910538383093","3.5941910538383093"
"18","11","11","11","3.628762304173858","3.628762304173858","3.628762304173858"
"19.5","12","12","12","3.7192277788097954","3.7192277788097954","3.7192277788097954"
"21","13","13","13","3.806333653130485","3.806333653130485","3.806333653130485"
"22.5","14","14","14","3.8319291385640506","3.8319291385640506","3.8319291385640506"
"24","15","15","15","3.7697978828221186","3.7697978828221186","3.7697978828221186"
"25.5","16","16","16","3.5901164592635597","3.5901164592635597","3.5901164592635597"
"27","17","17","17","3.472861452547085","3.472861452547085","3.472861452547085"
"28.5","18","18","18","3.7103417777904344","3.7103417777904344","3.7103417777904344"
"30","19","19","19","3.776647054074327","3.776647054074327","3.776647054074327"
"31.5","20","20","20","2.5618909755088013","2.5618909755088013","2.5618909755088013"
"33","21","21","21","1.8968880299838666","1.8968880299838666","1.8968880299838666"
"34.5","22","22","22","1.8059120232655126","1.8059120232655126","1.8059120232655126"
"36","23","23","23","1.9807267171531906","1.9807267171531906","1.9807267171531906"
"37.5","24","24","24","2.2932028962469997","2.2932028962469997","2.2932028962469997"
"39","25","25","25","2.6018853045794037","2.6018853045794037","2.6018853045794037"
"40.5","26","26","26","2.769133807034409","2.769133807034409","2.769133807034409"
"42","27","27","27","2.761536915107159","2.761536915107159","2.761536915107159"
"43.5","28","28","28","2.585343971605043","2.585343971605043","2.585343971605043"
"45","29","29","29","2.3955553842072757","2.3955553842072757","2.3955553842072757"
"46.5","30","30","30","2.380576659654892","2.380576659654892","2.380576659654892"
"48","31","31","31","2.479280463962655","2.479280463962655","2.479280463962655"
"49.5","32","32","32","2.505565385883587","2.505565385883587","2.505565385883587"
"51","33","33","33","2.4571262390431117","2.4571262390431117","2.4571262390431117"
"52.5","34","34","34","2.409276167682348","2.409276167682348","2.409276167682348"
"54","35","35","35","2.3934836462635474","2.3934836462635474","2.3934836462635474"
"55.5","36","36","36","2.4200297561485002","2.4200297561485002","2.4200297561485002"
"57","37","37","37","2.5165892010380517","2.5165892010380517","2.5165892010380517"
"58.5","38","38","38","2.613880159234949","2.613880159234949","2.613880159234949"
"60","39","39","39","2.620625696837949","2.620625696837949","2.620625696837949"
"61.5","40","40","40","2.5789900601080005","2.5789900601080005","2.5789900601080005"
"63","41","41","41","2.5458134225946583","2.5458134225946583","2.5458134225946583"
"64.5","42","42","42","2.538826332876962","2.538826332876962","2.538826332876962"
"66","43","43","43","2.547554312061289","2.547554312061289","2.547554312061289"
"67.5","44","44","44","2.5564839483013695","2.5564839483013695","2.5564839483013695"
"69","45","45","45","2.5659641675228846","2.5659641675228846","2.5659641675228846"
"70.5","46","46","46","2.578542331575404","2.578542331575404","2.578542331575404"
"72","47","47","47","2.584395684754766","2.584395684754766","2.584395684754766"
"73.5","48","48","48","2.572206965047167","2.572206965047167","2.572206965047167"
"75","49","49","49","2.5465282610140867","2.5465282610140867","2.5465282610140867"
"76.5","50","50","50","2.524270090765187","2.524270090765187","2.524270090765187"
"78","51","51","51","2.5171824841997616","2.5171824841997616","2.5171824841997616"
"79.5","52","52","52","2.5247425978695484","2.5247425978695484","2.5247425978695484"
"81","53","53","53","2.5397423608319216","2.5397423608319216","2.5397423608319216"
"82.5","54","54","54","2.5545554273856452","2.5545554273856452","2.5545554273856452"
"84","55","55","55","2.563634670096764","2.563634670096764","2.563634670096764"
"85.5","56","56","56","2.56438410501262","2.56438410501262","2.56438410501262"
"87","57","57","57","2.557964740684498","2.557964740684498","2.557964740684498"
"88.5","58","58","58","2.5486522053826044","2.5486522053826044","2.5486522053826044"
"90","59","59","59","2.541433225634799","2.541433225634799","2.541433225634799"
"91.5","60","60","60","2.5393155148692412","2.5393155148692412","2.5393155148692412"
