"ep4/time","daily-salad-26 - _step","daily-salad-26 - _step__MIN","daily-salad-26 - _step__MAX","daily-salad-26 - ep4/nusselt_obs","daily-salad-26 - ep4/nusselt_obs__MIN","daily-salad-26 - ep4/nusselt_obs__MAX"
"1.5","800","800","800","3.6522732727776277","3.6522732727776277","3.6522732727776277"
"3","801","801","801","3.346318689100483","3.346318689100483","3.346318689100483"
"4.5","802","802","802","3.3830277535711355","3.3830277535711355","3.3830277535711355"
"6","803","803","803","3.454376638009897","3.454376638009897","3.454376638009897"
"7.5","804","804","804","3.4564218831410454","3.4564218831410454","3.4564218831410454"
"9","805","805","805","3.374113077978159","3.374113077978159","3.374113077978159"
"10.5","806","806","806","3.280258081732767","3.280258081732767","3.280258081732767"
"12","807","807","807","3.181203637258509","3.181203637258509","3.181203637258509"
"13.5","808","808","808","3.043699083006894","3.043699083006894","3.043699083006894"
"15","809","809","809","2.9444464099585104","2.9444464099585104","2.9444464099585104"
"16.5","810","810","810","2.9477399340823824","2.9477399340823824","2.9477399340823824"
"18","811","811","811","3.0200861949947297","3.0200861949947297","3.0200861949947297"
"19.5","812","812","812","3.258601921689721","3.258601921689721","3.258601921689721"
"21","813","813","813","3.421763985724353","3.421763985724353","3.421763985724353"
"22.5","814","814","814","3.3890020386479196","3.3890020386479196","3.3890020386479196"
"24","815","815","815","3.2370433175329976","3.2370433175329976","3.2370433175329976"
"25.5","816","816","816","2.83541757738809","2.83541757738809","2.83541757738809"
"27","817","817","817","2.637645614679557","2.637645614679557","2.637645614679557"
"28.5","818","818","818","2.8458931471622297","2.8458931471622297","2.8458931471622297"
"30","819","819","819","3.2258536885397997","3.2258536885397997","3.2258536885397997"
"31.5","820","820","820","3.422609885646014","3.422609885646014","3.422609885646014"
"33","821","821","821","3.2394544751578933","3.2394544751578933","3.2394544751578933"
"34.5","822","822","822","3.1871314819932417","3.1871314819932417","3.1871314819932417"
"36","823","823","823","3.349918283129687","3.349918283129687","3.349918283129687"
"37.5","824","824","824","3.1879979528046705","3.1879979528046705","3.1879979528046705"
"39","825","825","825","2.7704478505383596","2.7704478505383596","2.7704478505383596"
"40.5","826","826","826","2.835612377480587","2.835612377480587","2.835612377480587"
"42","827","827","827","3.1703612199501783","3.1703612199501783","3.1703612199501783"
"43.5","828","828","828","3.3024154234537906","3.3024154234537906","3.3024154234537906"
"45","829","829","829","3.1312123232810145","3.1312123232810145","3.1312123232810145"
