"Step","grateful-forest-615-134224 - rollout/cell_dist_mean","grateful-forest-615-134224 - rollout/cell_dist_mean__MIN","grateful-forest-615-134224 - rollout/cell_dist_mean__MAX"
"0","2.7040114","2.7040114","2.7040114"
"4","2.7619998","2.7619998","2.7619998"
"18","2.7380452","2.7380452","2.7380452"
"32","2.811791","2.811791","2.811791"
"46","2.859651","2.859651","2.859651"
"60","2.931057","2.931057","2.931057"
"74","2.7815366","2.7815366","2.7815366"
"88","2.9218938","2.9218938","2.9218938"
"102","2.8228028","2.8228028","2.8228028"
"118","2.8520098","2.8520098","2.8520098"
"132","2.682102","2.682102","2.682102"
"146","2.7906342","2.7906342","2.7906342"
"160","2.7011151","2.7011151","2.7011151"
"174","2.6852272","2.6852272","2.6852272"
"188","2.764307","2.764307","2.764307"
"202","2.7543259","2.7543259","2.7543259"
"216","2.6652324","2.6652324","2.6652324"
"230","2.8283007","2.8283007","2.8283007"
"244","2.7505789","2.7505789","2.7505789"
"260","2.7112927","2.7112927","2.7112927"
"274","2.351073","2.351073","2.351073"
"288","2.24043","2.24043","2.24043"
"302","2.3401103","2.3401103","2.3401103"
"316","2.5314856","2.5314856","2.5314856"
"330","2.510247","2.510247","2.510247"
"344","2.4355524","2.4355524","2.4355524"
"358","2.5302746","2.5302746","2.5302746"
"372","2.329131","2.329131","2.329131"
"386","2.5703301","2.5703301","2.5703301"
"402","2.3791347","2.3791347","2.3791347"
"416","2.2530782","2.2530782","2.2530782"
"430","2.5622797","2.5622797","2.5622797"
"444","2.325106","2.325106","2.325106"
"458","2.1969059","2.1969059","2.1969059"
"472","2.3762057","2.3762057","2.3762057"
"486","1.9201676","1.9201676","1.9201676"
"500","1.9122481","1.9122481","1.9122481"
"514","1.8660897","1.8660897","1.8660897"
"528","2.1145046","2.1145046","2.1145046"
"544","2.0156097","2.0156097","2.0156097"
"558","1.6315011","1.6315011","1.6315011"
"572","1.8439349","1.8439349","1.8439349"
"586","1.520269","1.520269","1.520269"
"600","1.5900059","1.5900059","1.5900059"
"614","1.788957","1.788957","1.788957"
"628","2.015528","2.015528","2.015528"
"642","1.9267944","1.9267944","1.9267944"
"656","1.5039229","1.5039229","1.5039229"
"670","1.601885","1.601885","1.601885"
"686","1.5672457","1.5672457","1.5672457"
"700","1.5095189","1.5095189","1.5095189"
"714","1.2006611","1.2006611","1.2006611"
"728","1.4418437","1.4418437","1.4418437"
"742","1.1383692","1.1383692","1.1383692"
"756","0.9612128","0.9612128","0.9612128"
"770","1.4560137","1.4560137","1.4560137"
"784","1.2010047","1.2010047","1.2010047"
"798","1.4131768","1.4131768","1.4131768"
"812","1.2808535","1.2808535","1.2808535"
"828","0.95993656","0.95993656","0.95993656"
"842","1.1215485","1.1215485","1.1215485"
"856","1.0040333","1.0040333","1.0040333"
"870","0.9853802","0.9853802","0.9853802"
"884","0.96190006","0.96190006","0.96190006"
"898","0.84027785","0.84027785","0.84027785"
"912","0.68733793","0.68733793","0.68733793"
"926","0.8179595","0.8179595","0.8179595"
"940","0.8096473","0.8096473","0.8096473"
"954","0.74714273","0.74714273","0.74714273"
"970","0.78958696","0.78958696","0.78958696"
"984","0.68658525","0.68658525","0.68658525"
"998","0.6625488","0.6625488","0.6625488"
"1012","0.73910874","0.73910874","0.73910874"
"1026","0.68812335","0.68812335","0.68812335"
"1040","0.62709135","0.62709135","0.62709135"
"1054","0.5470298","0.5470298","0.5470298"
"1068","0.590194","0.590194","0.590194"
"1082","0.572228","0.572228","0.572228"
"1096","0.44540256","0.44540256","0.44540256"
"1112","0.5660921","0.5660921","0.5660921"
"1126","0.45921248","0.45921248","0.45921248"
"1140","0.5339071","0.5339071","0.5339071"
"1154","0.56016886","0.56016886","0.56016886"
"1168","0.4872741","0.4872741","0.4872741"
"1182","0.42388594","0.42388594","0.42388594"
"1196","0.42323142","0.42323142","0.42323142"
"1210","0.46186322","0.46186322","0.46186322"
"1224","0.43154356","0.43154356","0.43154356"
"1238","0.48053277","0.48053277","0.48053277"
"1254","0.48756865","0.48756865","0.48756865"
"1268","0.4455662","0.4455662","0.4455662"
"1282","0.4931646","0.4931646","0.4931646"
"1296","0.46202683","0.46202683","0.46202683"
"1310","0.45526913","0.45526913","0.45526913"
"1324","0.43353978","0.43353978","0.43353978"
"1338","0.46354854","0.46354854","0.46354854"
"1352","0.41519746","0.41519746","0.41519746"
"1366","0.42031893","0.42031893","0.42031893"
"1380","0.37000436","0.37000436","0.37000436"
"1396","0.4970425","0.4970425","0.4970425"
