"Step","ethereal-cosmos-613-134222 - rollout/cell_dist_mean","ethereal-cosmos-613-134222 - rollout/cell_dist_mean__MIN","ethereal-cosmos-613-134222 - rollout/cell_dist_mean__MAX"
"0","2.383389","2.383389","2.383389"
"4","2.5220609","2.5220609","2.5220609"
"18","2.3703153","2.3703153","2.3703153"
"32","2.0976021","2.0976021","2.0976021"
"46","2.3507948","2.3507948","2.3507948"
"60","1.8148261","1.8148261","1.8148261"
"74","1.9390008","1.9390008","1.9390008"
"88","2.5783803","2.5783803","2.5783803"
"102","2.2900739","2.2900739","2.2900739"
"118","1.902627","1.902627","1.902627"
"132","2.2979932","2.2979932","2.2979932"
"146","2.3569472","2.3569472","2.3569472"
"160","2.280109","2.280109","2.280109"
"174","2.1513038","2.1513038","2.1513038"
"188","2.2234786","2.2234786","2.2234786"
"202","2.2288618","2.2288618","2.2288618"
"216","2.2783747","2.2783747","2.2783747"
"230","2.4315927","2.4315927","2.4315927"
"244","2.4030402","2.4030402","2.4030402"
"260","1.7959602","1.7959602","1.7959602"
"274","2.3200989","2.3200989","2.3200989"
"288","2.2088015","2.2088015","2.2088015"
"302","2.171855","2.171855","2.171855"
"316","2.377711","2.377711","2.377711"
"330","2.1842086","2.1842086","2.1842086"
"344","2.0114048","2.0114048","2.0114048"
"358","2.130916","2.130916","2.130916"
"372","2.3203607","2.3203607","2.3203607"
"386","1.8320885","1.8320885","1.8320885"
"402","2.356669","2.356669","2.356669"
"416","1.9725438","1.9725438","1.9725438"
"430","2.0898137","2.0898137","2.0898137"
"444","1.9978566","1.9978566","1.9978566"
"458","1.8734528","1.8734528","1.8734528"
"472","2.1281672","2.1281672","2.1281672"
"486","2.1935844","2.1935844","2.1935844"
"500","2.0545852","2.0545852","2.0545852"
"514","1.8361627","1.8361627","1.8361627"
"528","2.0349176","2.0349176","2.0349176"
"544","1.9918188","1.9918188","1.9918188"
"558","2.1779745","2.1779745","2.1779745"
"572","1.9130827","1.9130827","1.9130827"
"586","2.2385974","2.2385974","2.2385974"
"600","2.0884392","2.0884392","2.0884392"
"614","1.9213784","1.9213784","1.9213784"
"628","2.0848231","2.0848231","2.0848231"
"642","2.1833086","2.1833086","2.1833086"
"656","2.0182443","2.0182443","2.0182443"
"670","1.664177","1.664177","1.664177"
"686","1.9228674","1.9228674","1.9228674"
"700","2.0028634","2.0028634","2.0028634"
"714","1.9737546","1.9737546","1.9737546"
"728","1.9591594","1.9591594","1.9591594"
"742","1.934681","1.934681","1.934681"
"756","2.0519345","2.0519345","2.0519345"
"770","1.9679133","1.9679133","1.9679133"
"784","1.9546269","1.9546269","1.9546269"
"798","1.7141315","1.7141315","1.7141315"
"812","2.0769362","2.0769362","2.0769362"
"828","1.8264598","1.8264598","1.8264598"
"842","1.8585302","1.8585302","1.8585302"
"856","1.941766","1.941766","1.941766"
"870","1.8838266","1.8838266","1.8838266"
"884","1.9331594","1.9331594","1.9331594"
"898","2.1485057","2.1485057","2.1485057"
"912","2.0305161","2.0305161","2.0305161"
"926","1.9037888","1.9037888","1.9037888"
"940","1.9782543","1.9782543","1.9782543"
"954","2.0481384","2.0481384","2.0481384"
"970","1.7589973","1.7589973","1.7589973"
"984","1.8529506","1.8529506","1.8529506"
"998","1.8728147","1.8728147","1.8728147"
"1012","2.0283725","2.0283725","2.0283725"
"1026","2.070195","2.070195","2.070195"
"1040","1.7338319","1.7338319","1.7338319"
"1054","1.6086427","1.6086427","1.6086427"
"1068","1.9619246","1.9619246","1.9619246"
"1082","1.7583429","1.7583429","1.7583429"
"1096","1.9803487","1.9803487","1.9803487"
"1112","1.7189094","1.7189094","1.7189094"
"1126","1.858923","1.858923","1.858923"
"1140","1.5585408","1.5585408","1.5585408"
"1154","1.9127064","1.9127064","1.9127064"
"1168","1.8098192","1.8098192","1.8098192"
"1182","1.97688","1.97688","1.97688"
"1196","1.9157661","1.9157661","1.9157661"
"1210","2.0550106","2.0550106","2.0550106"
"1224","1.6266905","1.6266905","1.6266905"
"1238","1.6195892","1.6195892","1.6195892"
"1254","1.6910931","1.6910931","1.6910931"
"1268","1.6403041","1.6403041","1.6403041"
"1282","1.628294","1.628294","1.628294"
"1296","1.7376443","1.7376443","1.7376443"
"1310","1.8818794","1.8818794","1.8818794"
"1324","1.6734381","1.6734381","1.6734381"
"1338","1.5160803","1.5160803","1.5160803"
"1352","1.588075","1.588075","1.588075"
"1366","1.7809558","1.7809558","1.7809558"
"1380","1.9163715","1.9163715","1.9163715"
"1397","1.8964912","1.8964912","1.8964912"
