"Step","treasured-snowflake-633-134225 - rollout/cell_dist_mean","treasured-snowflake-633-134225 - rollout/cell_dist_mean__MIN","treasured-snowflake-633-134225 - rollout/cell_dist_mean__MAX"
"0","1.1293371","1.1293371","1.1293371"
"4","1.6415149","1.6415149","1.6415149"
"18","1.5087335","1.5087335","1.5087335"
"32","1.2267429","1.2267429","1.2267429"
"46","1.5602099","1.5602099","1.5602099"
"60","1.4148948","1.4148948","1.4148948"
"74","1.97544","1.97544","1.97544"
"88","1.2900983","1.2900983","1.2900983"
"102","1.7541704","1.7541704","1.7541704"
"118","1.6592681","1.6592681","1.6592681"
"132","1.5132004","1.5132004","1.5132004"
"146","1.4328281","1.4328281","1.4328281"
"160","1.9379864","1.9379864","1.9379864"
"174","1.8227619","1.8227619","1.8227619"
"188","1.448176","1.448176","1.448176"
"202","1.8682004","1.8682004","1.8682004"
"216","1.6148441","1.6148441","1.6148441"
"230","1.8821903","1.8821903","1.8821903"
"244","1.832612","1.832612","1.832612"
"260","1.8397952","1.8397952","1.8397952"
"274","1.7091246","1.7091246","1.7091246"
"288","0.93321663","0.93321663","0.93321663"
"302","1.5701255","1.5701255","1.5701255"
"316","1.2745703","1.2745703","1.2745703"
"330","1.4091024","1.4091024","1.4091024"
"344","1.5091099","1.5091099","1.5091099"
"358","1.3319699","1.3319699","1.3319699"
"372","1.9007617","1.9007617","1.9007617"
"386","1.70955","1.70955","1.70955"
"402","1.8666624","1.8666624","1.8666624"
"416","1.8095901","1.8095901","1.8095901"
"430","1.9820504","1.9820504","1.9820504"
"444","1.5675075","1.5675075","1.5675075"
"458","1.6610844","1.6610844","1.6610844"
"472","1.232846","1.232846","1.232846"
"486","1.4807537","1.4807537","1.4807537"
"500","1.6855463","1.6855463","1.6855463"
"514","1.2751102","1.2751102","1.2751102"
"528","1.689555","1.689555","1.689555"
"544","1.3791101","1.3791101","1.3791101"
"558","1.5598499","1.5598499","1.5598499"
"572","1.7140988","1.7140988","1.7140988"
"586","1.6224363","1.6224363","1.6224363"
"600","1.4795756","1.4795756","1.4795756"
"614","1.1889129","1.1889129","1.1889129"
"628","1.6761706","1.6761706","1.6761706"
"642","1.6709019","1.6709019","1.6709019"
"656","1.3574462","1.3574462","1.3574462"
"670","1.7901678","1.7901678","1.7901678"
"686","1.6579428","1.6579428","1.6579428"
"700","1.6655678","1.6655678","1.6655678"
"714","1.1347368","1.1347368","1.1347368"
"728","1.779205","1.779205","1.779205"
"742","1.5794029","1.5794029","1.5794029"
"756","1.5296775","1.5296775","1.5296775"
"770","1.5935892","1.5935892","1.5935892"
"784","1.3535846","1.3535846","1.3535846"
"798","1.6802776","1.6802776","1.6802776"
"812","1.6979817","1.6979817","1.6979817"
"828","1.6336772","1.6336772","1.6336772"
"842","1.4823081","1.4823081","1.4823081"
"856","1.6139768","1.6139768","1.6139768"
"870","2.0303032","2.0303032","2.0303032"
"884","1.6968037","1.6968037","1.6968037"
"898","1.7544487","1.7544487","1.7544487"
"912","1.750358","1.750358","1.750358"
"926","1.7373171","1.7373171","1.7373171"
"940","1.533179","1.533179","1.533179"
"954","0.9427396","0.9427396","0.9427396"
"970","1.576425","1.576425","1.576425"
"984","1.7223781","1.7223781","1.7223781"
"998","1.2702833","1.2702833","1.2702833"
"1012","1.848091","1.848091","1.848091"
"1026","1.2583388","1.2583388","1.2583388"
"1040","1.8947895","1.8947895","1.8947895"
"1054","1.6225998","1.6225998","1.6225998"
"1068","1.9619082","1.9619082","1.9619082"
"1082","1.3959961","1.3959961","1.3959961"
"1096","1.41766","1.41766","1.41766"
"1112","1.4128168","1.4128168","1.4128168"
"1126","1.7545795","1.7545795","1.7545795"
"1140","1.381908","1.381908","1.381908"
"1154","1.6050103","1.6050103","1.6050103"
"1168","1.6343645","1.6343645","1.6343645"
"1182","1.4776776","1.4776776","1.4776776"
"1196","1.591233","1.591233","1.591233"
"1210","1.749589","1.749589","1.749589"
"1224","1.5078499","1.5078499","1.5078499"
"1238","1.8341337","1.8341337","1.8341337"
"1254","1.0920634","1.0920634","1.0920634"
"1268","1.8968838","1.8968838","1.8968838"
"1282","1.771122","1.771122","1.771122"
"1296","1.5912004","1.5912004","1.5912004"
"1310","1.673749","1.673749","1.673749"
"1324","1.5959945","1.5959945","1.5959945"
"1338","1.6476345","1.6476345","1.6476345"
"1352","1.9138026","1.9138026","1.9138026"
"1366","1.5479217","1.5479217","1.5479217"
"1380","1.629423","1.629423","1.629423"
"1397","1.75957","1.75957","1.75957"
