"Step","iconic-thunder-629-134219 - rollout/cell_dist_mean","iconic-thunder-629-134219 - rollout/cell_dist_mean__MIN","iconic-thunder-629-134219 - rollout/cell_dist_mean__MAX"
"0","1.8039942","1.8039942","1.8039942"
"4","1.7911005","1.7911005","1.7911005"
"18","1.7881553","1.7881553","1.7881553"
"32","1.8331357","1.8331357","1.8331357"
"46","1.7974328","1.7974328","1.7974328"
"60","1.7736254","1.7736254","1.7736254"
"74","1.8017361","1.8017361","1.8017361"
"88","1.82322","1.82322","1.82322"
"102","1.7258798","1.7258798","1.7258798"
"118","1.8133534","1.8133534","1.8133534"
"132","1.7716128","1.7716128","1.7716128"
"146","1.7539414","1.7539414","1.7539414"
"160","1.816315","1.816315","1.816315"
"174","1.7705656","1.7705656","1.7705656"
"188","1.8195711","1.8195711","1.8195711"
"202","1.8622608","1.8622608","1.8622608"
"216","1.8018179","1.8018179","1.8018179"
"230","1.8368008","1.8368008","1.8368008"
"244","1.7891698","1.7891698","1.7891698"
"260","1.8623754","1.8623754","1.8623754"
"274","1.817035","1.817035","1.817035"
"288","1.8620318","1.8620318","1.8620318"
"302","1.8408588","1.8408588","1.8408588"
"316","1.7751471","1.7751471","1.7751471"
"330","1.7695184","1.7695184","1.7695184"
"344","1.8097538","1.8097538","1.8097538"
"358","1.8897171","1.8897171","1.8897171"
"372","1.7957639","1.7957639","1.7957639"
"386","1.8143843","1.8143843","1.8143843"
"402","1.8406297","1.8406297","1.8406297"
"416","1.846242","1.846242","1.846242"
"430","1.8104737","1.8104737","1.8104737"
"444","1.7819703","1.7819703","1.7819703"
"458","1.8169041","1.8169041","1.8169041"
"472","1.8003453","1.8003453","1.8003453"
"486","1.7831974","1.7831974","1.7831974"
"500","1.8466183","1.8466183","1.8466183"
"514","1.8291596","1.8291596","1.8291596"
"528","1.8583175","1.8583175","1.8583175"
"544","1.8163478","1.8163478","1.8163478"
"558","1.8315486","1.8315486","1.8315486"
"572","1.8063995","1.8063995","1.8063995"
"586","1.8342974","1.8342974","1.8342974"
"600","1.8481237","1.8481237","1.8481237"
"614","1.8438694","1.8438694","1.8438694"
"628","1.7780759","1.7780759","1.7780759"
"642","1.8675295","1.8675295","1.8675295"
"656","1.8338883","1.8338883","1.8338883"
"670","1.8485655","1.8485655","1.8485655"
"686","1.8414642","1.8414642","1.8414642"
"700","1.8302722","1.8302722","1.8302722"
"714","1.883843","1.883843","1.883843"
"728","1.8300595","1.8300595","1.8300595"
"742","1.8141552","1.8141552","1.8141552"
"756","1.8514616","1.8514616","1.8514616"
"770","1.8887026","1.8887026","1.8887026"
"784","1.8409078","1.8409078","1.8409078"
"798","1.8371445","1.8371445","1.8371445"
"812","1.832432","1.832432","1.832432"
"828","1.8408915","1.8408915","1.8408915"
"842","1.8615409","1.8615409","1.8615409"
"856","1.8471092","1.8471092","1.8471092"
"870","1.7804649","1.7804649","1.7804649"
"884","1.8597738","1.8597738","1.8597738"
"898","1.8273107","1.8273107","1.8273107"
"912","1.7892188","1.7892188","1.7892188"
"926","1.8140407","1.8140407","1.8140407"
"940","1.8330538","1.8330538","1.8330538"
"954","1.8516089","1.8516089","1.8516089"
"970","1.8133371","1.8133371","1.8133371"
"984","1.8566486","1.8566486","1.8566486"
"998","1.8440821","1.8440821","1.8440821"
"1012","1.8581866","1.8581866","1.8581866"
"1026","1.8637825","1.8637825","1.8637825"
"1040","1.817984","1.817984","1.817984"
"1054","1.8039123","1.8039123","1.8039123"
"1068","1.8356391","1.8356391","1.8356391"
"1082","1.839877","1.839877","1.839877"
"1096","1.8470929","1.8470929","1.8470929"
"1112","1.8187695","1.8187695","1.8187695"
"1126","1.8766271","1.8766271","1.8766271"
"1140","1.8510199","1.8510199","1.8510199"
"1154","1.8577285","1.8577285","1.8577285"
"1168","1.8685768","1.8685768","1.8685768"
"1182","1.8585793","1.8585793","1.8585793"
"1196","1.8660406","1.8660406","1.8660406"
"1210","1.8504144","1.8504144","1.8504144"
"1224","1.8492527","1.8492527","1.8492527"
"1238","1.8411041","1.8411041","1.8411041"
"1254","1.9070612","1.9070612","1.9070612"
"1268","1.8421351","1.8421351","1.8421351"
"1282","1.8918606","1.8918606","1.8918606"
"1296","1.8900443","1.8900443","1.8900443"
"1310","1.8737963","1.8737963","1.8737963"
"1324","1.8652879","1.8652879","1.8652879"
"1338","1.8832866","1.8832866","1.8832866"
"1352","1.839288","1.839288","1.839288"
"1366","1.9030198","1.9030198","1.9030198"
"1380","1.879736","1.879736","1.879736"
"1396","1.8495308","1.8495308","1.8495308"
