"Step","grateful-forest-615-134224 - rollout/nusselt_obs_mean","grateful-forest-615-134224 - rollout/nusselt_obs_mean__MIN","grateful-forest-615-134224 - rollout/nusselt_obs_mean__MAX"
"2","3.973084","3.973084","3.973084"
"6","3.9249213","3.9249213","3.9249213"
"20","3.8886938","3.8886938","3.8886938"
"34","3.8632236","3.8632236","3.8632236"
"48","3.8337114","3.8337114","3.8337114"
"62","3.8036492","3.8036492","3.8036492"
"76","3.7490902","3.7490902","3.7490902"
"90","3.73704","3.73704","3.73704"
"104","3.6984794","3.6984794","3.6984794"
"120","3.668776","3.668776","3.668776"
"134","3.6524792","3.6524792","3.6524792"
"148","3.6255722","3.6255722","3.6255722"
"162","3.6037874","3.6037874","3.6037874"
"176","3.5610456","3.5610456","3.5610456"
"190","3.5472183","3.5472183","3.5472183"
"204","3.5295618","3.5295618","3.5295618"
"218","3.5176177","3.5176177","3.5176177"
"232","3.4907203","3.4907203","3.4907203"
"246","3.471666","3.471666","3.471666"
"262","3.464986","3.464986","3.464986"
"276","3.445969","3.445969","3.445969"
"290","3.4110363","3.4110363","3.4110363"
"304","3.3899252","3.3899252","3.3899252"
"318","3.366846","3.366846","3.366846"
"332","3.3441625","3.3441625","3.3441625"
"346","3.3522487","3.3522487","3.3522487"
"360","3.3242464","3.3242464","3.3242464"
"374","3.3207572","3.3207572","3.3207572"
"388","3.304836","3.304836","3.304836"
"404","3.2886314","3.2886314","3.2886314"
"418","3.2955287","3.2955287","3.2955287"
"432","3.2729473","3.2729473","3.2729473"
"446","3.2380762","3.2380762","3.2380762"
"460","3.2324326","3.2324326","3.2324326"
"474","3.2212236","3.2212236","3.2212236"
"488","3.1929145","3.1929145","3.1929145"
"502","3.1867805","3.1867805","3.1867805"
"516","3.1760645","3.1760645","3.1760645"
"530","3.1597345","3.1597345","3.1597345"
"546","3.1717772","3.1717772","3.1717772"
"560","3.129913","3.129913","3.129913"
"574","3.1681979","3.1681979","3.1681979"
"588","3.1347873","3.1347873","3.1347873"
"602","3.1286342","3.1286342","3.1286342"
"616","3.1151156","3.1151156","3.1151156"
"630","3.1249485","3.1249485","3.1249485"
"644","3.1018798","3.1018798","3.1018798"
"658","3.087872","3.087872","3.087872"
"672","3.0850933","3.0850933","3.0850933"
"688","3.0609295","3.0609295","3.0609295"
"702","3.0556028","3.0556028","3.0556028"
"716","3.0133262","3.0133262","3.0133262"
"730","3.0324461","3.0324461","3.0324461"
"744","2.9912374","2.9912374","2.9912374"
"758","2.9756064","2.9756064","2.9756064"
"772","3.0114887","3.0114887","3.0114887"
"786","2.9783351","2.9783351","2.9783351"
"800","2.9895988","2.9895988","2.9895988"
"814","2.9620636","2.9620636","2.9620636"
"830","2.9232986","2.9232986","2.9232986"
"844","2.935214","2.935214","2.935214"
"858","2.9259357","2.9259357","2.9259357"
"872","2.9144895","2.9144895","2.9144895"
"886","2.904559","2.904559","2.904559"
"900","2.8855999","2.8855999","2.8855999"
"914","2.8622894","2.8622894","2.8622894"
"928","2.8829613","2.8829613","2.8829613"
"942","2.8533704","2.8533704","2.8533704"
"956","2.8381624","2.8381624","2.8381624"
"972","2.843277","2.843277","2.843277"
"986","2.8165805","2.8165805","2.8165805"
"1000","2.8215244","2.8215244","2.8215244"
"1014","2.8276227","2.8276227","2.8276227"
"1028","2.8104193","2.8104193","2.8104193"
"1042","2.803621","2.803621","2.803621"
"1056","2.7849114","2.7849114","2.7849114"
"1070","2.779817","2.779817","2.779817"
"1084","2.7867672","2.7867672","2.7867672"
"1098","2.7665956","2.7665956","2.7665956"
"1114","2.7736855","2.7736855","2.7736855"
"1128","2.7582521","2.7582521","2.7582521"
"1142","2.773451","2.773451","2.773451"
"1156","2.7676435","2.7676435","2.7676435"
"1170","2.7598736","2.7598736","2.7598736"
"1184","2.7599728","2.7599728","2.7599728"
"1198","2.7386842","2.7386842","2.7386842"
"1212","2.7417414","2.7417414","2.7417414"
"1226","2.7409618","2.7409618","2.7409618"
"1240","2.743086","2.743086","2.743086"
"1256","2.7448988","2.7448988","2.7448988"
"1270","2.739968","2.739968","2.739968"
"1284","2.7479682","2.7479682","2.7479682"
"1298","2.7402425","2.7402425","2.7402425"
"1312","2.7337499","2.7337499","2.7337499"
"1326","2.7415056","2.7415056","2.7415056"
"1340","2.73505","2.73505","2.73505"
"1354","2.7319713","2.7319713","2.7319713"
"1368","2.7273407","2.7273407","2.7273407"
"1382","2.7043605","2.7043605","2.7043605"
"1398","2.7252936","2.7252936","2.7252936"
