"Step","ethereal-cosmos-613-134222 - rollout/nusselt_obs_mean","ethereal-cosmos-613-134222 - rollout/nusselt_obs_mean__MIN","ethereal-cosmos-613-134222 - rollout/nusselt_obs_mean__MAX"
"2","7.2954335","7.2954335","7.2954335"
"6","7.306639","7.306639","7.306639"
"20","7.2393775","7.2393775","7.2393775"
"34","7.149009","7.149009","7.149009"
"48","7.20688","7.20688","7.20688"
"62","7.0352125","7.0352125","7.0352125"
"76","7.033718","7.033718","7.033718"
"90","7.1907043","7.1907043","7.1907043"
"104","7.082811","7.082811","7.082811"
"120","6.9831643","6.9831643","6.9831643"
"134","7.084158","7.084158","7.084158"
"148","7.020455","7.020455","7.020455"
"162","6.9561143","6.9561143","6.9561143"
"176","6.93724","6.93724","6.93724"
"190","6.9319024","6.9319024","6.9319024"
"204","6.8656387","6.8656387","6.8656387"
"218","6.8749022","6.8749022","6.8749022"
"232","6.913253","6.913253","6.913253"
"246","6.891443","6.891443","6.891443"
"262","6.798789","6.798789","6.798789"
"276","6.8089294","6.8089294","6.8089294"
"290","6.8467426","6.8467426","6.8467426"
"304","6.8120246","6.8120246","6.8120246"
"318","6.8092155","6.8092155","6.8092155"
"332","6.7743654","6.7743654","6.7743654"
"346","6.7347174","6.7347174","6.7347174"
"360","6.7905717","6.7905717","6.7905717"
"374","6.71488","6.71488","6.71488"
"388","6.672705","6.672705","6.672705"
"404","6.697201","6.697201","6.697201"
"418","6.6717796","6.6717796","6.6717796"
"432","6.6864724","6.6864724","6.6864724"
"446","6.6267557","6.6267557","6.6267557"
"460","6.6324167","6.6324167","6.6324167"
"474","6.649196","6.649196","6.649196"
"488","6.62027","6.62027","6.62027"
"502","6.585152","6.585152","6.585152"
"516","6.510785","6.510785","6.510785"
"530","6.5201826","6.5201826","6.5201826"
"546","6.522065","6.522065","6.522065"
"560","6.5698175","6.5698175","6.5698175"
"574","6.5005546","6.5005546","6.5005546"
"588","6.540179","6.540179","6.540179"
"602","6.4971747","6.4971747","6.4971747"
"616","6.4672627","6.4672627","6.4672627"
"630","6.4421077","6.4421077","6.4421077"
"644","6.4469","6.4469","6.4469"
"658","6.454452","6.454452","6.454452"
"672","6.4638643","6.4638643","6.4638643"
"688","6.5300107","6.5300107","6.5300107"
"702","6.428829","6.428829","6.428829"
"716","6.4585123","6.4585123","6.4585123"
"730","6.399632","6.399632","6.399632"
"744","6.397372","6.397372","6.397372"
"758","6.4575853","6.4575853","6.4575853"
"772","6.34374","6.34374","6.34374"
"786","6.431208","6.431208","6.431208"
"800","6.3357873","6.3357873","6.3357873"
"814","6.347428","6.347428","6.347428"
"830","6.293622","6.293622","6.293622"
"844","6.3115816","6.3115816","6.3115816"
"858","6.3438816","6.3438816","6.3438816"
"872","6.375692","6.375692","6.375692"
"886","6.3455076","6.3455076","6.3455076"
"900","6.3258166","6.3258166","6.3258166"
"914","6.3070574","6.3070574","6.3070574"
"928","6.28802","6.28802","6.28802"
"942","6.24523","6.24523","6.24523"
"956","6.2685905","6.2685905","6.2685905"
"972","6.2026196","6.2026196","6.2026196"
"986","6.227305","6.227305","6.227305"
"1000","6.2157364","6.2157364","6.2157364"
"1014","6.26951","6.26951","6.26951"
"1028","6.269216","6.269216","6.269216"
"1042","6.2054224","6.2054224","6.2054224"
"1056","6.2384267","6.2384267","6.2384267"
"1070","6.2044353","6.2044353","6.2044353"
"1084","6.19789","6.19789","6.19789"
"1098","6.196334","6.196334","6.196334"
"1114","6.206881","6.206881","6.206881"
"1128","6.1747103","6.1747103","6.1747103"
"1142","6.176838","6.176838","6.176838"
"1156","6.154031","6.154031","6.154031"
"1170","6.174053","6.174053","6.174053"
"1184","6.2263613","6.2263613","6.2263613"
"1198","6.181142","6.181142","6.181142"
"1212","6.2739143","6.2739143","6.2739143"
"1226","6.1618767","6.1618767","6.1618767"
"1240","6.1801333","6.1801333","6.1801333"
"1256","6.1446395","6.1446395","6.1446395"
"1270","6.1831837","6.1831837","6.1831837"
"1284","6.223334","6.223334","6.223334"
"1298","6.1567483","6.1567483","6.1567483"
"1312","6.1739783","6.1739783","6.1739783"
"1326","6.131238","6.131238","6.131238"
"1340","6.144237","6.144237","6.144237"
"1354","6.17093","6.17093","6.17093"
"1368","6.1949234","6.1949234","6.1949234"
"1382","6.2728615","6.2728615","6.2728615"
"1399","6.2020555","6.2020555","6.2020555"
