"Step","treasured-snowflake-633-134225 - rollout/nusselt_obs_mean","treasured-snowflake-633-134225 - rollout/nusselt_obs_mean__MIN","treasured-snowflake-633-134225 - rollout/nusselt_obs_mean__MAX"
"2","12.686129","12.686129","12.686129"
"6","13.054452","13.054452","13.054452"
"20","12.896585","12.896585","12.896585"
"34","12.7435055","12.7435055","12.7435055"
"48","12.904628","12.904628","12.904628"
"62","12.830229","12.830229","12.830229"
"76","13.145737","13.145737","13.145737"
"90","12.678731","12.678731","12.678731"
"104","12.924394","12.924394","12.924394"
"120","12.820797","12.820797","12.820797"
"134","12.722667","12.722667","12.722667"
"148","12.63316","12.63316","12.63316"
"162","12.908326","12.908326","12.908326"
"176","12.781529","12.781529","12.781529"
"190","12.62566","12.62566","12.62566"
"204","12.809873","12.809873","12.809873"
"218","12.633819","12.633819","12.633819"
"232","12.8539715","12.8539715","12.8539715"
"246","12.706255","12.706255","12.706255"
"262","12.610969","12.610969","12.610969"
"276","12.550405","12.550405","12.550405"
"290","12.257784","12.257784","12.257784"
"304","12.465675","12.465675","12.465675"
"318","12.391432","12.391432","12.391432"
"332","12.401943","12.401943","12.401943"
"346","12.423405","12.423405","12.423405"
"360","12.249517","12.249517","12.249517"
"374","12.491729","12.491729","12.491729"
"388","12.444353","12.444353","12.444353"
"404","12.368857","12.368857","12.368857"
"418","12.378245","12.378245","12.378245"
"432","12.567129","12.567129","12.567129"
"446","12.344088","12.344088","12.344088"
"460","12.385258","12.385258","12.385258"
"474","12.192487","12.192487","12.192487"
"488","12.235078","12.235078","12.235078"
"502","12.268013","12.268013","12.268013"
"516","12.092473","12.092473","12.092473"
"530","12.253842","12.253842","12.253842"
"546","12.063105","12.063105","12.063105"
"560","12.207412","12.207412","12.207412"
"574","12.187356","12.187356","12.187356"
"588","12.15361","12.15361","12.15361"
"602","12.103798","12.103798","12.103798"
"616","12.01237","12.01237","12.01237"
"630","12.202982","12.202982","12.202982"
"644","12.135466","12.135466","12.135466"
"658","12.006547","12.006547","12.006547"
"672","12.0708065","12.0708065","12.0708065"
"688","12.087287","12.087287","12.087287"
"702","12.104221","12.104221","12.104221"
"716","11.930188","11.930188","11.930188"
"730","12.127088","12.127088","12.127088"
"744","12.029481","12.029481","12.029481"
"758","12.06147","12.06147","12.06147"
"772","12.012424","12.012424","12.012424"
"786","11.968292","11.968292","11.968292"
"800","11.954876","11.954876","11.954876"
"814","11.993114","11.993114","11.993114"
"830","12.03854","12.03854","12.03854"
"844","11.91539","11.91539","11.91539"
"858","11.934204","11.934204","11.934204"
"872","12.017751","12.017751","12.017751"
"886","11.98975","11.98975","11.98975"
"900","11.922202","11.922202","11.922202"
"914","11.968561","11.968561","11.968561"
"928","11.938582","11.938582","11.938582"
"942","11.885475","11.885475","11.885475"
"956","11.807905","11.807905","11.807905"
"972","11.878198","11.878198","11.878198"
"986","11.889001","11.889001","11.889001"
"1000","11.902434","11.902434","11.902434"
"1014","12.044453","12.044453","12.044453"
"1028","11.812991","11.812991","11.812991"
"1042","12.05797","12.05797","12.05797"
"1056","11.804073","11.804073","11.804073"
"1070","11.843158","11.843158","11.843158"
"1084","11.758031","11.758031","11.758031"
"1098","11.740335","11.740335","11.740335"
"1114","11.734359","11.734359","11.734359"
"1128","11.852333","11.852333","11.852333"
"1142","11.763552","11.763552","11.763552"
"1156","11.85136","11.85136","11.85136"
"1170","11.76348","11.76348","11.76348"
"1184","11.7707615","11.7707615","11.7707615"
"1198","11.777587","11.777587","11.777587"
"1212","11.818397","11.818397","11.818397"
"1226","11.856582","11.856582","11.856582"
"1240","11.803303","11.803303","11.803303"
"1256","11.711547","11.711547","11.711547"
"1270","11.804536","11.804536","11.804536"
"1284","11.799085","11.799085","11.799085"
"1298","11.802698","11.802698","11.802698"
"1312","11.77677","11.77677","11.77677"
"1326","11.778385","11.778385","11.778385"
"1340","11.766558","11.766558","11.766558"
"1354","11.847583","11.847583","11.847583"
"1368","11.7930565","11.7930565","11.7930565"
"1382","11.754341","11.754341","11.754341"
"1399","11.720413","11.720413","11.720413"
