"Step","iconic-thunder-629-134219 - rollout/nusselt_obs_mean","iconic-thunder-629-134219 - rollout/nusselt_obs_mean__MIN","iconic-thunder-629-134219 - rollout/nusselt_obs_mean__MAX"
"2","20.529367","20.529367","20.529367"
"6","20.517887","20.517887","20.517887"
"20","20.498013","20.498013","20.498013"
"34","20.501825","20.501825","20.501825"
"48","20.34696","20.34696","20.34696"
"62","20.397453","20.397453","20.397453"
"76","20.290369","20.290369","20.290369"
"90","20.428125","20.428125","20.428125"
"104","20.246004","20.246004","20.246004"
"120","20.23622","20.23622","20.23622"
"134","20.225004","20.225004","20.225004"
"148","20.11734","20.11734","20.11734"
"162","20.003132","20.003132","20.003132"
"176","20.047068","20.047068","20.047068"
"190","19.930645","19.930645","19.930645"
"204","19.958673","19.958673","19.958673"
"218","19.828693","19.828693","19.828693"
"232","19.88609","19.88609","19.88609"
"246","19.809914","19.809914","19.809914"
"262","19.850641","19.850641","19.850641"
"276","19.821503","19.821503","19.821503"
"290","19.685743","19.685743","19.685743"
"304","19.80627","19.80627","19.80627"
"318","19.628874","19.628874","19.628874"
"332","19.793526","19.793526","19.793526"
"346","19.608065","19.608065","19.608065"
"360","19.585802","19.585802","19.585802"
"374","19.608438","19.608438","19.608438"
"388","19.560736","19.560736","19.560736"
"404","19.555195","19.555195","19.555195"
"418","19.569153","19.569153","19.569153"
"432","19.534077","19.534077","19.534077"
"446","19.425198","19.425198","19.425198"
"460","19.374514","19.374514","19.374514"
"474","19.417114","19.417114","19.417114"
"488","19.308077","19.308077","19.308077"
"502","19.354738","19.354738","19.354738"
"516","19.325432","19.325432","19.325432"
"530","19.240156","19.240156","19.240156"
"546","19.223469","19.223469","19.223469"
"560","19.232687","19.232687","19.232687"
"574","19.192179","19.192179","19.192179"
"588","19.187998","19.187998","19.187998"
"602","19.209","19.209","19.209"
"616","19.158403","19.158403","19.158403"
"630","19.109222","19.109222","19.109222"
"644","19.10925","19.10925","19.10925"
"658","19.079908","19.079908","19.079908"
"672","19.102407","19.102407","19.102407"
"688","19.115305","19.115305","19.115305"
"702","19.02699","19.02699","19.02699"
"716","18.987917","18.987917","18.987917"
"730","19.041521","19.041521","19.041521"
"744","18.946566","18.946566","18.946566"
"758","18.975779","18.975779","18.975779"
"772","18.936455","18.936455","18.936455"
"786","18.990887","18.990887","18.990887"
"800","18.901773","18.901773","18.901773"
"814","18.944704","18.944704","18.944704"
"830","18.967543","18.967543","18.967543"
"844","18.805809","18.805809","18.805809"
"858","18.907198","18.907198","18.907198"
"872","18.939943","18.939943","18.939943"
"886","18.846243","18.846243","18.846243"
"900","18.84742","18.84742","18.84742"
"914","18.842932","18.842932","18.842932"
"928","18.83015","18.83015","18.83015"
"942","18.8371","18.8371","18.8371"
"956","18.900362","18.900362","18.900362"
"972","18.930204","18.930204","18.930204"
"986","18.810753","18.810753","18.810753"
"1000","18.754585","18.754585","18.754585"
"1014","18.812342","18.812342","18.812342"
"1028","18.860334","18.860334","18.860334"
"1042","18.783619","18.783619","18.783619"
"1056","18.806778","18.806778","18.806778"
"1070","18.807032","18.807032","18.807032"
"1084","18.764505","18.764505","18.764505"
"1098","18.735006","18.735006","18.735006"
"1114","18.75749","18.75749","18.75749"
"1128","18.753328","18.753328","18.753328"
"1142","18.768002","18.768002","18.768002"
"1156","18.745584","18.745584","18.745584"
"1170","18.733845","18.733845","18.733845"
"1184","18.707676","18.707676","18.707676"
"1198","18.648449","18.648449","18.648449"
"1212","18.74498","18.74498","18.74498"
"1226","18.792688","18.792688","18.792688"
"1240","18.74869","18.74869","18.74869"
"1256","18.688246","18.688246","18.688246"
"1270","18.716547","18.716547","18.716547"
"1284","18.797812","18.797812","18.797812"
"1298","18.739252","18.739252","18.739252"
"1312","18.721455","18.721455","18.721455"
"1326","18.65227","18.65227","18.65227"
"1340","18.713354","18.713354","18.713354"
"1354","18.704758","18.704758","18.704758"
"1368","18.751022","18.751022","18.751022"
"1382","18.638235","18.638235","18.638235"
"1398","18.724426","18.724426","18.724426"
