"Step","grateful-forest-615-134224 - eval/mean_reward","grateful-forest-615-134224 - eval/mean_reward__MIN","grateful-forest-615-134224 - eval/mean_reward__MAX"
"117","24.059837","24.059837","24.059837"
"259","39.35147","39.35147","39.35147"
"401","42.310726","42.310726","42.310726"
"543","51.596367","51.596367","51.596367"
"685","58.26399","58.26399","58.26399"
"827","60.60619","60.60619","60.60619"
"969","61.412964","61.412964","61.412964"
"1111","65.56163","65.56163","65.56163"
"1253","65.4685","65.4685","65.4685"
"1395","66.44979","66.44979","66.44979"
