"Step","ethereal-cosmos-613-134222 - eval/mean_reward","ethereal-cosmos-613-134222 - eval/mean_reward__MIN","ethereal-cosmos-613-134222 - eval/mean_reward__MAX"
"117","12.664375","12.664375","12.664375"
"259","17.009712","17.009712","17.009712"
"401","18.166096","18.166096","18.166096"
"543","24.462227","24.462227","24.462227"
"685","22.135767","22.135767","22.135767"
"827","29.723331","29.723331","29.723331"
"969","25.419306","25.419306","25.419306"
"1111","24.175186","24.175186","24.175186"
"1253","18.802095","18.802095","18.802095"
"1396","6.873699","6.873699","6.873699"
