"Step","treasured-snowflake-633-134225 - eval/mean_reward","treasured-snowflake-633-134225 - eval/mean_reward__MIN","treasured-snowflake-633-134225 - eval/mean_reward__MAX"
"117","3.7131152","3.7131152","3.7131152"
"259","7.4506526","7.4506526","7.4506526"
"401","11.812523","11.812523","11.812523"
"543","17.099737","17.099737","17.099737"
"685","15.505235","15.505235","15.505235"
"827","19.702421","19.702421","19.702421"
"969","8.534879","8.534879","8.534879"
"1111","21.315977","21.315977","21.315977"
"1253","18.456564","18.456564","18.456564"
"1396","14.458284","14.458284","14.458284"
