"Step","iconic-thunder-629-134219 - eval/mean_reward","iconic-thunder-629-134219 - eval/mean_reward__MIN","iconic-thunder-629-134219 - eval/mean_reward__MAX"
"117","3.713693","3.713693","3.713693"
"259","11.024834","11.024834","11.024834"
"401","15.273776","15.273776","15.273776"
"543","20.046772","20.046772","20.046772"
"685","22.699808","22.699808","22.699808"
"827","23.925621","23.925621","23.925621"
"969","21.915524","21.915524","21.915524"
"1111","22.761215","22.761215","22.761215"
"1253","20.529678","20.529678","20.529678"
"1395","20.738005","20.738005","20.738005"
