"sim_time","easy-frost-109 - _step","easy-frost-109 - _step__MIN","easy-frost-109 - _step__MAX","easy-frost-109 - run/nusselt","easy-frost-109 - run/nusselt__MIN","easy-frost-109 - run/nusselt__MAX","glorious-valley-108 - _step","glorious-valley-108 - _step__MIN","glorious-valley-108 - _step__MAX","glorious-valley-108 - run/nusselt","glorious-valley-108 - run/nusselt__MIN","glorious-valley-108 - run/nusselt__MAX","swept-oath-105 - _step","swept-oath-105 - _step__MIN","swept-oath-105 - _step__MAX","swept-oath-105 - run/nusselt","swept-oath-105 - run/nusselt__MIN","swept-oath-105 - run/nusselt__MAX","gentle-dust-104 - _step","gentle-dust-104 - _step__MIN","gentle-dust-104 - _step__MAX","gentle-dust-104 - run/nusselt","gentle-dust-104 - run/nusselt__MIN","gentle-dust-104 - run/nusselt__MAX","whole-eon-101 - _step","whole-eon-101 - _step__MIN","whole-eon-101 - _step__MAX","whole-eon-101 - run/nusselt","whole-eon-101 - run/nusselt__MIN","whole-eon-101 - run/nusselt__MAX","wobbly-feather-100 - _step","wobbly-feather-100 - _step__MIN","wobbly-feather-100 - _step__MAX","wobbly-feather-100 - run/nusselt","wobbly-feather-100 - run/nusselt__MIN","wobbly-feather-100 - run/nusselt__MAX","exalted-sky-97 - _step","exalted-sky-97 - _step__MIN","exalted-sky-97 - _step__MAX","exalted-sky-97 - run/nusselt","exalted-sky-97 - run/nusselt__MIN","exalted-sky-97 - run/nusselt__MAX","pretty-fire-96 - _step","pretty-fire-96 - _step__MIN","pretty-fire-96 - _step__MAX","pretty-fire-96 - run/nusselt","pretty-fire-96 - run/nusselt__MIN","pretty-fire-96 - run/nusselt__MAX","genial-sea-93 - _step","genial-sea-93 - _step__MIN","genial-sea-93 - _step__MAX","genial-sea-93 - run/nusselt","genial-sea-93 - run/nusselt__MIN","genial-sea-93 - run/nusselt__MAX","giddy-tree-92 - _step","giddy-tree-92 - _step__MIN","giddy-tree-92 - _step__MAX","giddy-tree-92 - run/nusselt","giddy-tree-92 - run/nusselt__MIN","giddy-tree-92 - run/nusselt__MAX","ancient-bush-89 - _step","ancient-bush-89 - _step__MIN","ancient-bush-89 - _step__MAX","ancient-bush-89 - run/nusselt","ancient-bush-89 - run/nusselt__MIN","ancient-bush-89 - run/nusselt__MAX","wandering-cosmos-88 - _step","wandering-cosmos-88 - _step__MIN","wandering-cosmos-88 - _step__MAX","wandering-cosmos-88 - run/nusselt","wandering-cosmos-88 - run/nusselt__MIN","wandering-cosmos-88 - run/nusselt__MAX","easy-bird-85 - _step","easy-bird-85 - _step__MIN","easy-bird-85 - _step__MAX","easy-bird-85 - run/nusselt","easy-bird-85 - run/nusselt__MIN","easy-bird-85 - run/nusselt__MAX","good-brook-84 - _step","good-brook-84 - _step__MIN","good-brook-84 - _step__MAX","good-brook-84 - run/nusselt","good-brook-84 - run/nusselt__MIN","good-brook-84 - run/nusselt__MAX","cerulean-sponge-81 - _step","cerulean-sponge-81 - _step__MIN","cerulean-sponge-81 - _step__MAX","cerulean-sponge-81 - run/nusselt","cerulean-sponge-81 - run/nusselt__MIN","cerulean-sponge-81 - run/nusselt__MAX","stoic-dawn-80 - _step","stoic-dawn-80 - _step__MIN","stoic-dawn-80 - _step__MAX","stoic-dawn-80 - run/nusselt","stoic-dawn-80 - run/nusselt__MIN","stoic-dawn-80 - run/nusselt__MAX"
"1","1","1","1","8.942930648281887","8.942930648281887","8.942930648281887","1","1","1","8.942930648281887","8.942930648281887","8.942930648281887","1","1","1","17.35868065835772","17.35868065835772","17.35868065835772","1","1","1","14.35874196420893","14.35874196420893","14.35874196420893","1","1","1","5.015444358369172","5.015444358369172","5.015444358369172","1","1","1","6.555708718364773","6.555708718364773","6.555708718364773","1","1","1","9.584807593520054","9.584807593520054","9.584807593520054","1","1","1","14.863587945681045","14.863587945681045","14.863587945681045","1","1","1","9.580505521273155","9.580505521273155","9.580505521273155","1","1","1","10.385842664911982","10.385842664911982","10.385842664911982","1","1","1","5.015444358369172","5.015444358369172","5.015444358369172","1","1","1","4.246708870565764","4.246708870565764","4.246708870565764","1","1","1","17.35868065835772","17.35868065835772","17.35868065835772","1","1","1","14.863587945681045","14.863587945681045","14.863587945681045","1","1","1","14.654200257283795","14.654200257283795","14.654200257283795","1","1","1","6.555708718364773","6.555708718364773","6.555708718364773"
"2","4","4","4","13.054899498907655","13.054899498907655","13.054899498907655","4","4","4","13.054899498907655","13.054899498907655","13.054899498907655","4","4","4","15.623199033359993","15.623199033359993","15.623199033359993","4","4","4","5.585182345561556","5.585182345561556","5.585182345561556","4","4","4","10.062088543272425","10.062088543272425","10.062088543272425","4","4","4","7.060476717944837","7.060476717944837","7.060476717944837","4","4","4","4.694215789795712","4.694215789795712","4.694215789795712","4","4","4","11.67234341416801","11.67234341416801","11.67234341416801","4","4","4","9.636104075829842","9.636104075829842","9.636104075829842","4","4","4","9.874456894884236","9.874456894884236","9.874456894884236","4","4","4","10.062088543272425","10.062088543272425","10.062088543272425","4","4","4","7.44920644681821","7.44920644681821","7.44920644681821","4","4","4","15.623199033359993","15.623199033359993","15.623199033359993","4","4","4","11.67234341416801","11.67234341416801","11.67234341416801","4","4","4","18.031475231920673","18.031475231920673","18.031475231920673","4","4","4","7.060476717944837","7.060476717944837","7.060476717944837"
"3","7","7","7","14.492659062118621","14.492659062118621","14.492659062118621","7","7","7","14.492659062118628","14.492659062118628","14.492659062118628","7","7","7","9.158037756423292","9.158037756423292","9.158037756423292","7","7","7","1.1294762691630105","1.1294762691630105","1.1294762691630105","7","7","7","14.593226238347441","14.593226238347441","14.593226238347441","7","7","7","11.506661287485109","11.506661287485109","11.506661287485109","7","7","7","5.909184726454963","5.909184726454963","5.909184726454963","7","7","7","7.061066584137899","7.061066584137899","7.061066584137899","7","7","7","9.337235442675068","9.337235442675068","9.337235442675068","7","7","7","9.787366997214285","9.787366997214285","9.787366997214285","7","7","7","14.593226238347441","14.593226238347441","14.593226238347441","7","7","7","13.262474081814332","13.262474081814332","13.262474081814332","7","7","7","9.158037756423292","9.158037756423292","9.158037756423292","7","7","7","7.061066584137899","7.061066584137899","7.061066584137899","7","7","7","14.667226900533404","14.667226900533404","14.667226900533404","7","7","7","11.506661287485109","11.506661287485109","11.506661287485109"
"4","10","10","10","10.906587793931097","10.906587793931097","10.906587793931097","10","10","10","10.906587793931097","10.906587793931097","10.906587793931097","10","10","10","4.292695785967216","4.292695785967216","4.292695785967216","10","10","10","4.714235751680746","4.714235751680746","4.714235751680746","10","10","10","14.95051683941618","14.95051683941618","14.95051683941618","10","10","10","13.986938936079147","13.986938936079147","13.986938936079147","10","10","10","11.423261966217288","11.423261966217288","11.423261966217288","10","10","10","6.940573271971762","6.940573271971762","6.940573271971762","10","10","10","9.09332807205365","9.09332807205365","9.09332807205365","10","10","10","10.042129440557597","10.042129440557597","10.042129440557597","10","10","10","14.95051683941618","14.95051683941618","14.95051683941618","10","10","10","15.595489381930008","15.595489381930008","15.595489381930008","10","10","10","4.292695785967216","4.292695785967216","4.292695785967216","10","10","10","6.940573271971762","6.940573271971762","6.940573271971762","10","10","10","7.476474648553106","7.476474648553106","7.476474648553106","10","10","10","13.986938936079147","13.986938936079147","13.986938936079147"
"5","13","13","13","5.328312905398913","5.328312905398913","5.328312905398913","13","13","13","5.3283129053989144","5.3283129053989144","5.3283129053989144","13","13","13","5.6903212732381885","5.6903212732381885","5.6903212732381885","13","13","13","13.433181435802489","13.433181435802489","13.433181435802489","13","13","13","10.726297607513043","10.726297607513043","10.726297607513043","13","13","13","12.155509581658668","12.155509581658668","12.155509581658668","13","13","13","15.28986109628918","15.28986109628918","15.28986109628918","13","13","13","10.442222064619768","10.442222064619768","10.442222064619768","13","13","13","8.763221483466767","8.763221483466767","8.763221483466767","13","13","13","9.663814239669607","9.663814239669607","9.663814239669607","13","13","13","10.726297607513043","10.726297607513043","10.726297607513043","13","13","13","12.758391174456435","12.758391174456435","12.758391174456435","13","13","13","5.6903212732381885","5.6903212732381885","5.6903212732381885","13","13","13","10.442222064619768","10.442222064619768","10.442222064619768","13","13","13","3.4527108945679252","3.4527108945679252","3.4527108945679252","13","13","13","12.155509581658668","12.155509581658668","12.155509581658668"
"6","16","16","16","3.2105759143899872","3.2105759143899872","3.2105759143899872","16","16","16","3.2105759143899895","3.2105759143899895","3.2105759143899895","16","16","16","10.798676225358792","10.798676225358792","10.798676225358792","16","16","16","18.758395081986198","18.758395081986198","18.758395081986198","16","16","16","6.319371463850032","6.319371463850032","6.319371463850032","16","16","16","7.331951338792522","7.331951338792522","7.331951338792522","16","16","16","14.519857155678812","14.519857155678812","14.519857155678812","16","16","16","12.791991416582496","12.791991416582496","12.791991416582496","16","16","16","8.388271074382917","8.388271074382917","8.388271074382917","16","16","16","9.15988551718218","9.15988551718218","9.15988551718218","16","16","16","6.319371463850032","6.319371463850032","6.319371463850032","16","16","16","7.3739531028333865","7.3739531028333865","7.3739531028333865","16","16","16","10.798676225358792","10.798676225358792","10.798676225358792","16","16","16","12.791991416582496","12.791991416582496","12.791991416582496","16","16","16","6.486120653507028","6.486120653507028","6.486120653507028","16","16","16","7.331951338792522","7.331951338792522","7.331951338792522"
"7","19","19","19","7.418118037552609","7.418118037552609","7.418118037552609","19","19","19","7.418118037552611","7.418118037552611","7.418118037552611","19","19","19","14.337836501796861","14.337836501796861","14.337836501796861","19","19","19","16.725542482520073","16.725542482520073","16.725542482520073","19","19","19","6.333682999136392","6.333682999136392","6.333682999136392","19","19","19","4.740347856720119","4.740347856720119","4.740347856720119","19","19","19","9.53591143078945","9.53591143078945","9.53591143078945","19","19","19","12.088625295128285","12.088625295128285","12.088625295128285","19","19","19","8.56506292406823","8.56506292406823","8.56506292406823","19","19","19","8.3288048460541","8.3288048460541","8.3288048460541","19","19","19","6.333682999136392","6.333682999136392","6.333682999136392","19","19","19","4.867083673303735","4.867083673303735","4.867083673303735","19","19","19","14.337836501796861","14.337836501796861","14.337836501796861","19","19","19","12.088625295128285","12.088625295128285","12.088625295128285","19","19","19","11.995665954941412","11.995665954941412","11.995665954941412","19","19","19","4.740347856720119","4.740347856720119","4.740347856720119"
"8","22","22","22","14.97521179650878","14.97521179650878","14.97521179650878","22","22","22","14.975211796508777","14.975211796508777","14.975211796508777","22","22","22","13.763500244915585","13.763500244915585","13.763500244915585","22","22","22","9.214383907212376","9.214383907212376","9.214383907212376","22","22","22","10.565978790153265","10.565978790153265","10.565978790153265","22","22","22","7.8741544110963435","7.8741544110963435","7.8741544110963435","22","22","22","5.551262739732092","5.551262739732092","5.551262739732092","22","22","22","8.86295608841268","8.86295608841268","8.86295608841268","22","22","22","8.626572049520778","8.626572049520778","8.626572049520778","22","22","22","7.942939018719247","7.942939018719247","7.942939018719247","22","22","22","10.565978790153265","10.565978790153265","10.565978790153265","22","22","22","8.32555634432539","8.32555634432539","8.32555634432539","22","22","22","13.763500244915585","13.763500244915585","13.763500244915585","22","22","22","8.86295608841268","8.86295608841268","8.86295608841268","22","22","22","15.301667180671739","15.301667180671739","15.301667180671739","22","22","22","7.8741544110963435","7.8741544110963435","7.8741544110963435"
"9","25","25","25","18.09006116559314","18.09006116559314","18.09006116559314","25","25","25","18.09006116559314","18.09006116559314","18.09006116559314","25","25","25","9.371720777776241","9.371720777776241","9.371720777776241","25","25","25","3.6765507992620865","3.6765507992620865","3.6765507992620865","25","25","25","13.407519615965084","13.407519615965084","13.407519615965084","25","25","25","13.543813939143053","13.543813939143053","13.543813939143053","25","25","25","6.822837050181948","6.822837050181948","6.822837050181948","25","25","25","6.873361008115439","6.873361008115439","6.873361008115439","25","25","25","8.978291627889135","8.978291627889135","8.978291627889135","25","25","25","7.758806776395085","7.758806776395085","7.758806776395085","25","25","25","13.407519615965084","13.407519615965084","13.407519615965084","25","25","25","13.059635033765762","13.059635033765762","13.059635033765762","25","25","25","9.371720777776241","9.371720777776241","9.371720777776241","25","25","25","6.873361008115439","6.873361008115439","6.873361008115439","25","25","25","13.752478224605712","13.752478224605712","13.752478224605712","25","25","25","13.543813939143053","13.543813939143053","13.543813939143053"
"10","28","28","28","13.817920129739779","13.817920129739779","13.817920129739779","28","28","28","13.817920129739779","13.817920129739779","13.817920129739779","28","28","28","6.553564839203072","6.553564839203072","6.553564839203072","28","28","28","5.006029834730276","5.006029834730276","5.006029834730276","28","28","28","12.640955327338027","12.640955327338027","12.640955327338027","28","28","28","16.131531066346277","16.131531066346277","16.131531066346277","28","28","28","11.372907775269594","11.372907775269594","11.372907775269594","28","28","28","9.072020579698414","9.072020579698414","9.072020579698414","28","28","28","9.285324111468567","9.285324111468567","9.285324111468567","28","28","28","8.43795501835912","8.43795501835912","8.43795501835912","28","28","28","12.640955327338027","12.640955327338027","12.640955327338027","28","28","28","14.687021311255862","14.687021311255862","14.687021311255862","28","28","28","6.553564839203072","6.553564839203072","6.553564839203072","28","28","28","9.072020579698414","9.072020579698414","9.072020579698414","28","28","28","8.691390556970221","8.691390556970221","8.691390556970221","28","28","28","16.131531066346277","16.131531066346277","16.131531066346277"
