"sim_time","hardy-dragon-107 - _step","hardy-dragon-107 - _step__MIN","hardy-dragon-107 - _step__MAX","hardy-dragon-107 - run/nusselt","hardy-dragon-107 - run/nusselt__MIN","hardy-dragon-107 - run/nusselt__MAX","radiant-durian-106 - _step","radiant-durian-106 - _step__MIN","radiant-durian-106 - _step__MAX","radiant-durian-106 - run/nusselt","radiant-durian-106 - run/nusselt__MIN","radiant-durian-106 - run/nusselt__MAX","peach-breeze-103 - _step","peach-breeze-103 - _step__MIN","peach-breeze-103 - _step__MAX","peach-breeze-103 - run/nusselt","peach-breeze-103 - run/nusselt__MIN","peach-breeze-103 - run/nusselt__MAX","super-sun-102 - _step","super-sun-102 - _step__MIN","super-sun-102 - _step__MAX","super-sun-102 - run/nusselt","super-sun-102 - run/nusselt__MIN","super-sun-102 - run/nusselt__MAX","effortless-morning-99 - _step","effortless-morning-99 - _step__MIN","effortless-morning-99 - _step__MAX","effortless-morning-99 - run/nusselt","effortless-morning-99 - run/nusselt__MIN","effortless-morning-99 - run/nusselt__MAX","whole-morning-98 - _step","whole-morning-98 - _step__MIN","whole-morning-98 - _step__MAX","whole-morning-98 - run/nusselt","whole-morning-98 - run/nusselt__MIN","whole-morning-98 - run/nusselt__MAX","expert-sea-95 - _step","expert-sea-95 - _step__MIN","expert-sea-95 - _step__MAX","expert-sea-95 - run/nusselt","expert-sea-95 - run/nusselt__MIN","expert-sea-95 - run/nusselt__MAX","vibrant-pyramid-94 - _step","vibrant-pyramid-94 - _step__MIN","vibrant-pyramid-94 - _step__MAX","vibrant-pyramid-94 - run/nusselt","vibrant-pyramid-94 - run/nusselt__MIN","vibrant-pyramid-94 - run/nusselt__MAX","sandy-bee-91 - _step","sandy-bee-91 - _step__MIN","sandy-bee-91 - _step__MAX","sandy-bee-91 - run/nusselt","sandy-bee-91 - run/nusselt__MIN","sandy-bee-91 - run/nusselt__MAX","neat-morning-90 - _step","neat-morning-90 - _step__MIN","neat-morning-90 - _step__MAX","neat-morning-90 - run/nusselt","neat-morning-90 - run/nusselt__MIN","neat-morning-90 - run/nusselt__MAX","happy-cloud-87 - _step","happy-cloud-87 - _step__MIN","happy-cloud-87 - _step__MAX","happy-cloud-87 - run/nusselt","happy-cloud-87 - run/nusselt__MIN","happy-cloud-87 - run/nusselt__MAX","comic-lake-86 - _step","comic-lake-86 - _step__MIN","comic-lake-86 - _step__MAX","comic-lake-86 - run/nusselt","comic-lake-86 - run/nusselt__MIN","comic-lake-86 - run/nusselt__MAX","apricot-river-83 - _step","apricot-river-83 - _step__MIN","apricot-river-83 - _step__MAX","apricot-river-83 - run/nusselt","apricot-river-83 - run/nusselt__MIN","apricot-river-83 - run/nusselt__MAX","sage-wildflower-82 - _step","sage-wildflower-82 - _step__MIN","sage-wildflower-82 - _step__MAX","sage-wildflower-82 - run/nusselt","sage-wildflower-82 - run/nusselt__MIN","sage-wildflower-82 - run/nusselt__MAX","icy-feather-79 - _step","icy-feather-79 - _step__MIN","icy-feather-79 - _step__MAX","icy-feather-79 - run/nusselt","icy-feather-79 - run/nusselt__MIN","icy-feather-79 - run/nusselt__MAX","pleasant-lake-78 - _step","pleasant-lake-78 - _step__MIN","pleasant-lake-78 - _step__MAX","pleasant-lake-78 - run/nusselt","pleasant-lake-78 - run/nusselt__MIN","pleasant-lake-78 - run/nusselt__MAX"
"1","1","1","1","8.97484241739231","8.97484241739231","8.97484241739231","1","1","1","8.97484241739231","8.97484241739231","8.97484241739231","1","1","1","17.24665931994297","17.24665931994297","17.24665931994297","1","1","1","14.2929293530649","14.2929293530649","14.2929293530649","1","1","1","5.114658571971796","5.114658571971796","5.114658571971796","1","1","1","6.653159491378318","6.653159491378318","6.653159491378318","1","1","1","9.501188296623921","9.501188296623921","9.501188296623921","1","1","1","14.770695526233684","14.770695526233684","14.770695526233684","1","1","1","10.290923073222443","10.290923073222443","10.290923073222443","1","1","1","9.516141627176369","9.516141627176369","9.516141627176369","1","1","1","4.257176518678502","4.257176518678502","4.257176518678502","1","1","1","5.114658571971796","5.114658571971796","5.114658571971796","1","1","1","14.770695526233684","14.770695526233684","14.770695526233684","1","1","1","17.24665931994297","17.24665931994297","17.24665931994297","1","1","1","6.653159491378318","6.653159491378318","6.653159491378318","1","1","1","14.456038630496371","14.456038630496371","14.456038630496371"
"2","4","4","4","13.723330998298213","13.723330998298213","13.723330998298213","4","4","4","13.723330998298213","13.723330998298213","13.723330998298213","4","4","4","16.06051366235505","16.06051366235505","16.06051366235505","4","4","4","6.533641061584668","6.533641061584668","6.533641061584668","4","4","4","10.953433599128134","10.953433599128134","10.953433599128134","4","4","4","7.944791551220615","7.944791551220615","7.944791551220615","4","4","4","5.036864672017889","5.036864672017889","5.036864672017889","4","4","4","12.102457701629582","12.102457701629582","12.102457701629582","4","4","4","9.93537817896229","9.93537817896229","9.93537817896229","4","4","4","9.783493946086349","9.783493946086349","9.783493946086349","4","4","4","8.193118252730759","8.193118252730759","8.193118252730759","4","4","4","10.953433599128134","10.953433599128134","10.953433599128134","4","4","4","12.102457701629582","12.102457701629582","12.102457701629582","4","4","4","16.06051366235505","16.06051366235505","16.06051366235505","4","4","4","7.944791551220615","7.944791551220615","7.944791551220615","4","4","4","18.158968307082137","18.158968307082137","18.158968307082137"
"3","7","7","7","15.593906180130517","15.593906180130517","15.593906180130517","7","7","7","15.593906180130517","15.593906180130517","15.593906180130517","7","7","7","10.632554674069379","10.632554674069379","10.632554674069379","7","7","7","4.650556359436158","4.650556359436158","4.650556359436158","7","7","7","15.981992899421366","15.981992899421366","15.981992899421366","7","7","7","13.417459334405907","13.417459334405907","13.417459334405907","7","7","7","7.047325002813773","7.047325002813773","7.047325002813773","7","7","7","8.411331509809543","8.411331509809543","8.411331509809543","7","7","7","10.220835462706589","10.220835462706589","10.220835462706589","7","7","7","9.76885018422815","9.76885018422815","9.76885018422815","7","7","7","14.801397815925403","14.801397815925403","14.801397815925403","7","7","7","15.981992899421366","15.981992899421366","15.981992899421366","7","7","7","8.411331509809543","8.411331509809543","8.411331509809543","7","7","7","10.632554674069379","10.632554674069379","10.632554674069379","7","7","7","13.417459334405907","13.417459334405907","13.417459334405907","7","7","7","15.29886392738944","15.29886392738944","15.29886392738944"
"4","10","10","10","12.312543100936741","12.312543100936741","12.312543100936741","10","10","10","12.312543100936741","12.312543100936741","12.312543100936741","10","10","10","6.210568525554126","6.210568525554126","6.210568525554126","10","10","10","8.118091194145576","8.118091194145576","8.118091194145576","10","10","10","16.207665987071092","16.207665987071092","16.207665987071092","10","10","10","15.840884878266206","15.840884878266206","15.840884878266206","10","10","10","13.559680953655768","13.559680953655768","13.559680953655768","10","10","10","9.33000174501598","9.33000174501598","9.33000174501598","10","10","10","10.675634796650831","10.675634796650831","10.675634796650831","10","10","10","9.767147022536184","9.767147022536184","9.767147022536184","10","10","10","17.383256166304907","17.383256166304907","17.383256166304907","10","10","10","16.207665987071092","16.207665987071092","16.207665987071092","10","10","10","9.33000174501598","9.33000174501598","9.33000174501598","10","10","10","6.210568525554126","6.210568525554126","6.210568525554126","10","10","10","15.840884878266206","15.840884878266206","15.840884878266206","10","10","10","8.673425832273734","8.673425832273734","8.673425832273734"
"5","13","13","13","6.511363622536794","6.511363622536794","6.511363622536794","13","13","13","6.511363622536794","6.511363622536794","6.511363622536794","13","13","13","6.670516236317239","6.670516236317239","6.670516236317239","13","13","13","15.145751022383429","15.145751022383429","15.145751022383429","13","13","13","10.231984481641508","10.231984481641508","10.231984481641508","13","13","13","13.160383911960864","13.160383911960864","13.160383911960864","13","13","13","17.648292755457078","17.648292755457078","17.648292755457078","13","13","13","12.932769275609141","12.932769275609141","12.932769275609141","13","13","13","10.619088793800142","10.619088793800142","10.619088793800142","13","13","13","9.647320432751835","9.647320432751835","9.647320432751835","13","13","13","13.236467208044509","13.236467208044509","13.236467208044509","13","13","13","10.231984481641508","10.231984481641508","10.231984481641508","13","13","13","12.932769275609141","12.932769275609141","12.932769275609141","13","13","13","6.670516236317239","6.670516236317239","6.670516236317239","13","13","13","13.160383911960864","13.160383911960864","13.160383911960864","13","13","13","4.5074946884148055","4.5074946884148055","4.5074946884148055"
"6","16","16","16","4.831133717646833","4.831133717646833","4.831133717646833","16","16","16","4.831133717646833","4.831133717646833","4.831133717646833","16","16","16","12.649907180586322","12.649907180586322","12.649907180586322","16","16","16","20.464632012851002","20.464632012851002","20.464632012851002","16","16","16","5.718800843029864","5.718800843029864","5.718800843029864","16","16","16","7.1545868500781635","7.1545868500781635","7.1545868500781635","16","16","16","16.11663429091725","16.11663429091725","16.11663429091725","16","16","16","14.587329809246853","14.587329809246853","14.587329809246853","16","16","16","10.306779206894795","10.306779206894795","10.306779206894795","16","16","16","9.449695441232246","9.449695441232246","9.449695441232246","16","16","16","7.16958636961876","7.16958636961876","7.16958636961876","16","16","16","5.718800843029864","5.718800843029864","5.718800843029864","16","16","16","14.587329809246853","14.587329809246853","14.587329809246853","16","16","16","12.649907180586322","12.649907180586322","12.649907180586322","16","16","16","7.1545868500781635","7.1545868500781635","7.1545868500781635","16","16","16","8.22467339210088","8.22467339210088","8.22467339210088"
"7","19","19","19","8.298116901881023","8.298116901881023","8.298116901881023","19","19","19","8.298116901881023","8.298116901881023","8.298116901881023","19","19","19","16.304927623945105","16.304927623945105","16.304927623945105","19","19","19","16.584593844538453","16.584593844538453","16.584593844538453","19","19","19","6.421072389326262","6.421072389326262","6.421072389326262","19","19","19","4.705978741974044","4.705978741974044","4.705978741974044","19","19","19","9.491941694650064","9.491941694650064","9.491941694650064","19","19","19","13.148305399452129","13.148305399452129","13.148305399452129","19","19","19","9.359337782785833","9.359337782785833","9.359337782785833","19","19","19","9.145804431474769","9.145804431474769","9.145804431474769","19","19","19","3.110903627602431","3.110903627602431","3.110903627602431","19","19","19","6.421072389326262","6.421072389326262","6.421072389326262","19","19","19","13.148305399452129","13.148305399452129","13.148305399452129","19","19","19","16.304927623945105","16.304927623945105","16.304927623945105","19","19","19","4.705978741974044","4.705978741974044","4.705978741974044","19","19","19","14.350632620195771","14.350632620195771","14.350632620195771"
"8","22","22","22","16.841793523519218","16.841793523519218","16.841793523519218","22","22","22","16.841793523519218","16.841793523519218","16.841793523519218","22","22","22","13.899191605060295","13.899191605060295","13.899191605060295","22","22","22","7.113070697836364","7.113070697836364","7.113070697836364","22","22","22","12.434682291832146","12.434682291832146","12.434682291832146","22","22","22","11.088173991660577","11.088173991660577","11.088173991660577","22","22","22","5.461371054900496","5.461371054900496","5.461371054900496","22","22","22","8.487594514056799","8.487594514056799","8.487594514056799","22","22","22","9.69118814182855","9.69118814182855","9.69118814182855","22","22","22","10.413044414563185","10.413044414563185","10.413044414563185","22","22","22","7.683494256311202","7.683494256311202","7.683494256311202","22","22","22","12.434682291832146","12.434682291832146","12.434682291832146","22","22","22","8.487594514056799","8.487594514056799","8.487594514056799","22","22","22","13.899191605060295","13.899191605060295","13.899191605060295","22","22","22","11.088173991660577","11.088173991660577","11.088173991660577","22","22","22","17.210271602588087","17.210271602588087","17.210271602588087"
"9","25","25","25","20.292702916851265","20.292702916851265","20.292702916851265","25","25","25","20.292702916851265","20.292702916851265","20.292702916851265","25","25","25","8.775745688318253","8.775745688318253","8.775745688318253","25","25","25","3.353813632107443","3.353813632107443","3.353813632107443","25","25","25","15.913615111313575","15.913615111313575","15.913615111313575","25","25","25","17.757649439068572","17.757649439068572","17.757649439068572","25","25","25","7.61845436118376","7.61845436118376","7.61845436118376","25","25","25","6.589653128410071","6.589653128410071","6.589653128410071","25","25","25","8.8936387466179","8.8936387466179","8.8936387466179","25","25","25","10.944331039023613","10.944331039023613","10.944331039023613","25","25","25","14.493747720316186","14.493747720316186","14.493747720316186","25","25","25","15.913615111313575","15.913615111313575","15.913615111313575","25","25","25","6.589653128410071","6.589653128410071","6.589653128410071","25","25","25","8.775745688318253","8.775745688318253","8.775745688318253","25","25","25","17.757649439068572","17.757649439068572","17.757649439068572","25","25","25","13.96739820410438","13.96739820410438","13.96739820410438"
"10","28","28","28","14.683545936809534","14.683545936809534","14.683545936809534","28","28","28","14.683545936809534","14.683545936809534","14.683545936809534","28","28","28","7.089342785682975","7.089342785682975","7.089342785682975","28","28","28","5.989017982902902","5.989017982902902","5.989017982902902","28","28","28","16.468764510111605","16.468764510111605","16.468764510111605","28","28","28","16.270708663264173","16.270708663264173","16.270708663264173","28","28","28","13.88525286866542","13.88525286866542","13.88525286866542","28","28","28","9.92750215043392","9.92750215043392","9.92750215043392","28","28","28","9.730102493525028","9.730102493525028","9.730102493525028","28","28","28","10.740971958014242","10.740971958014242","10.740971958014242","28","28","28","17.520628962333415","17.520628962333415","17.520628962333415","28","28","28","16.468764510111605","16.468764510111605","16.468764510111605","28","28","28","9.92750215043392","9.92750215043392","9.92750215043392","28","28","28","7.089342785682975","7.089342785682975","7.089342785682975","28","28","28","16.270708663264173","16.270708663264173","16.270708663264173","28","28","28","8.080138667248853","8.080138667248853","8.080138667248853"
