"sim_time","rose-energy-63 - _step","rose-energy-63 - _step__MIN","rose-energy-63 - _step__MAX","rose-energy-63 - run/nusselt","rose-energy-63 - run/nusselt__MIN","rose-energy-63 - run/nusselt__MAX","warm-surf-61 - _step","warm-surf-61 - _step__MIN","warm-surf-61 - _step__MAX","warm-surf-61 - run/nusselt","warm-surf-61 - run/nusselt__MIN","warm-surf-61 - run/nusselt__MAX","tough-durian-59 - _step","tough-durian-59 - _step__MIN","tough-durian-59 - _step__MAX","tough-durian-59 - run/nusselt","tough-durian-59 - run/nusselt__MIN","tough-durian-59 - run/nusselt__MAX","earthy-microwave-57 - _step","earthy-microwave-57 - _step__MIN","earthy-microwave-57 - _step__MAX","earthy-microwave-57 - run/nusselt","earthy-microwave-57 - run/nusselt__MIN","earthy-microwave-57 - run/nusselt__MAX","tough-dragon-55 - _step","tough-dragon-55 - _step__MIN","tough-dragon-55 - _step__MAX","tough-dragon-55 - run/nusselt","tough-dragon-55 - run/nusselt__MIN","tough-dragon-55 - run/nusselt__MAX","prime-vortex-53 - _step","prime-vortex-53 - _step__MIN","prime-vortex-53 - _step__MAX","prime-vortex-53 - run/nusselt","prime-vortex-53 - run/nusselt__MIN","prime-vortex-53 - run/nusselt__MAX","giddy-deluge-51 - _step","giddy-deluge-51 - _step__MIN","giddy-deluge-51 - _step__MAX","giddy-deluge-51 - run/nusselt","giddy-deluge-51 - run/nusselt__MIN","giddy-deluge-51 - run/nusselt__MAX","dutiful-meadow-49 - _step","dutiful-meadow-49 - _step__MIN","dutiful-meadow-49 - _step__MAX","dutiful-meadow-49 - run/nusselt","dutiful-meadow-49 - run/nusselt__MIN","dutiful-meadow-49 - run/nusselt__MAX","usual-grass-47 - _step","usual-grass-47 - _step__MIN","usual-grass-47 - _step__MAX","usual-grass-47 - run/nusselt","usual-grass-47 - run/nusselt__MIN","usual-grass-47 - run/nusselt__MAX","swift-sky-45 - _step","swift-sky-45 - _step__MIN","swift-sky-45 - _step__MAX","swift-sky-45 - run/nusselt","swift-sky-45 - run/nusselt__MIN","swift-sky-45 - run/nusselt__MAX","stoic-elevator-44 - _step","stoic-elevator-44 - _step__MIN","stoic-elevator-44 - _step__MAX","stoic-elevator-44 - run/nusselt","stoic-elevator-44 - run/nusselt__MIN","stoic-elevator-44 - run/nusselt__MAX","copper-leaf-42 - _step","copper-leaf-42 - _step__MIN","copper-leaf-42 - _step__MAX","copper-leaf-42 - run/nusselt","copper-leaf-42 - run/nusselt__MIN","copper-leaf-42 - run/nusselt__MAX","earnest-fire-40 - _step","earnest-fire-40 - _step__MIN","earnest-fire-40 - _step__MAX","earnest-fire-40 - run/nusselt","earnest-fire-40 - run/nusselt__MIN","earnest-fire-40 - run/nusselt__MAX","glad-hill-38 - _step","glad-hill-38 - _step__MIN","glad-hill-38 - _step__MAX","glad-hill-38 - run/nusselt","glad-hill-38 - run/nusselt__MIN","glad-hill-38 - run/nusselt__MAX"
"1","1","1","1","2.915207446068322","2.915207446068322","2.915207446068322","1","1","1","2.9201339937788267","2.9201339937788267","2.9201339937788267","1","1","1","2.919953211440241","2.919953211440241","2.919953211440241","1","1","1","2.915207446068322","2.915207446068322","2.915207446068322","1","1","1","2.9192778201308616","2.9192778201308616","2.9192778201308616","1","1","1","2.9168182008186414","2.9168182008186414","2.9168182008186414","1","1","1","2.9203318666877083","2.9203318666877083","2.9203318666877083","1","1","1","2.9185386415765566","2.9185386415765566","2.9185386415765566","1","1","1","2.920726240226168","2.920726240226168","2.920726240226168","1","1","1","2.9199534635155913","2.9199534635155913","2.9199534635155913","1","1","1","2.9193351380571575","2.9193351380571575","2.9193351380571575","1","1","1","2.9194413645375654","2.9194413645375654","2.9194413645375654","1","1","1","2.9199534635155913","2.9199534635155913","2.9199534635155913","1","1","1","2.920726240226168","2.920726240226168","2.920726240226168"
"2","4","4","4","2.9142322060801598","2.9142322060801598","2.9142322060801598","4","4","4","2.9194713356853463","2.9194713356853463","2.9194713356853463","4","4","4","2.919499594252628","2.919499594252628","2.919499594252628","4","4","4","2.9142322060801598","2.9142322060801598","2.9142322060801598","4","4","4","2.920115553580776","2.920115553580776","2.920115553580776","4","4","4","2.9166805285434254","2.9166805285434254","2.9166805285434254","4","4","4","2.918602469921479","2.918602469921479","2.918602469921479","4","4","4","2.9192794152201405","2.9192794152201405","2.9192794152201405","4","4","4","2.919523664551468","2.919523664551468","2.919523664551468","4","4","4","2.920850218960497","2.920850218960497","2.920850218960497","4","4","4","2.9180081915126874","2.9180081915126874","2.9180081915126874","4","4","4","2.92005067212445","2.92005067212445","2.92005067212445","4","4","4","2.920850218960497","2.920850218960497","2.920850218960497","4","4","4","2.919523664551468","2.919523664551468","2.919523664551468"
"3","7","7","7","2.9162499629745797","2.9162499629745797","2.9162499629745797","7","7","7","2.918815755152496","2.918815755152496","2.918815755152496","7","7","7","2.9191570532830435","2.9191570532830435","2.9191570532830435","7","7","7","2.9162499629745797","2.9162499629745797","2.9162499629745797","7","7","7","2.920328440258067","2.920328440258067","2.920328440258067","7","7","7","2.9181934858554124","2.9181934858554124","2.9181934858554124","7","7","7","2.9170904856904696","2.9170904856904696","2.9170904856904696","7","7","7","2.9200858771269105","2.9200858771269105","2.9200858771269105","7","7","7","2.9178350386862206","2.9178350386862206","2.9178350386862206","7","7","7","2.9200778906814557","2.9200778906814557","2.9200778906814557","7","7","7","2.9175784553826998","2.9175784553826998","2.9175784553826998","7","7","7","2.920210381624571","2.920210381624571","2.920210381624571","7","7","7","2.9200778906814557","2.9200778906814557","2.9200778906814557","7","7","7","2.9178350386862206","2.9178350386862206","2.9178350386862206"
"4","10","10","10","2.9195726931023063","2.9195726931023063","2.9195726931023063","10","10","10","2.918699821651602","2.918699821651602","2.918699821651602","10","10","10","2.919201261158953","2.919201261158953","2.919201261158953","10","10","10","2.9195726931023063","2.9195726931023063","2.9195726931023063","10","10","10","2.9197690620334615","2.9197690620334615","2.9197690620334615","10","10","10","2.920105457205828","2.920105457205828","2.920105457205828","10","10","10","2.9170194515405616","2.9170194515405616","2.9170194515405616","10","10","10","2.9203128949488484","2.9203128949488484","2.9203128949488484","10","10","10","2.9170460730250225","2.9170460730250225","2.9170460730250225","10","10","10","2.918319439541096","2.918319439541096","2.918319439541096","10","10","10","2.918375324270339","2.918375324270339","2.918375324270339","10","10","10","2.9198091927229597","2.9198091927229597","2.9198091927229597","10","10","10","2.918319439541096","2.918319439541096","2.918319439541096","10","10","10","2.9170460730250225","2.9170460730250225","2.9170460730250225"
"5","13","13","13","2.9215103990600326","2.9215103990600326","2.9215103990600326","13","13","13","2.919206339815598","2.919206339815598","2.919206339815598","13","13","13","2.9195886840173273","2.9195886840173273","2.9195886840173273","13","13","13","2.9215103990600326","2.9215103990600326","2.9215103990600326","13","13","13","2.9189159892870413","2.9189159892870413","2.9189159892870413","13","13","13","2.920879129219191","2.920879129219191","2.920879129219191","13","13","13","2.918417093408306","2.918417093408306","2.918417093408306","13","13","13","2.91980007013102","2.91980007013102","2.91980007013102","13","13","13","2.917777301891196","2.917777301891196","2.917777301891196","13","13","13","2.9170322224051617","2.9170322224051617","2.9170322224051617","13","13","13","2.919731560748186","2.919731560748186","2.919731560748186","13","13","13","2.91919051178737","2.91919051178737","2.91919051178737","13","13","13","2.9170322224051617","2.9170322224051617","2.9170322224051617","13","13","13","2.917777301891196","2.917777301891196","2.917777301891196"
"6","16","16","16","2.9205640813900637","2.9205640813900637","2.9205640813900637","16","16","16","2.919914748752369","2.919914748752369","2.919914748752369","16","16","16","2.9200007728152175","2.9200007728152175","2.9200007728152175","16","16","16","2.9205640813900637","2.9205640813900637","2.9205640813900637","16","16","16","2.9184703541714683","2.9184703541714683","2.9184703541714683","16","16","16","2.91993721528494","2.91993721528494","2.91993721528494","16","16","16","2.9201284649157713","2.9201284649157713","2.9201284649157713","16","16","16","2.9189872479929946","2.9189872479929946","2.9189872479929946","16","16","16","2.919407752571329","2.919407752571329","2.919407752571329","16","16","16","2.9172509767797012","2.9172509767797012","2.9172509767797012","16","16","16","2.9205486907590785","2.9205486907590785","2.9205486907590785","16","16","16","2.9188628937913106","2.9188628937913106","2.9188628937913106","16","16","16","2.9172509767797012","2.9172509767797012","2.9172509767797012","16","16","16","2.919407752571329","2.919407752571329","2.919407752571329"
"7","19","19","19","2.9176025973132353","2.9176025973132353","2.9176025973132353","19","19","19","2.920253946942696","2.920253946942696","2.920253946942696","19","19","19","2.9201081688564052","2.9201081688564052","2.9201081688564052","19","19","19","2.9176025973132353","2.9176025973132353","2.9176025973132353","19","19","19","2.9187849097043816","2.9187849097043816","2.9187849097043816","19","19","19","2.9181011096709835","2.9181011096709835","2.9181011096709835","19","19","19","2.9207788853887964","2.9207788853887964","2.9207788853887964","19","19","19","2.918543037437754","2.918543037437754","2.918543037437754","19","19","19","2.920610570468455","2.920610570468455","2.920610570468455","19","19","19","2.9187679908359794","2.9187679908359794","2.9187679908359794","19","19","19","2.9201933271748137","2.9201933271748137","2.9201933271748137","19","19","19","2.9190858723560646","2.9190858723560646","2.9190858723560646","19","19","19","2.9187679908359794","2.9187679908359794","2.9187679908359794","19","19","19","2.920610570468455","2.920610570468455","2.920610570468455"
"8","22","22","22","2.915093721474822","2.915093721474822","2.915093721474822","22","22","22","2.919966218011025","2.919966218011025","2.919966218011025","22","22","22","2.919836112258026","2.919836112258026","2.919836112258026","22","22","22","2.915093721474822","2.915093721474822","2.915093721474822","22","22","22","2.919590413013555","2.919590413013555","2.919590413013555","22","22","22","2.9168883980848177","2.9168883980848177","2.9168883980848177","22","22","22","2.919886856860788","2.919886856860788","2.919886856860788","22","22","22","2.9188198926231057","2.9188198926231057","2.9188198926231057","22","22","22","2.9204406480065406","2.9204406480065406","2.9204406480065406","22","22","22","2.9203368694787697","2.9203368694787697","2.9203368694787697","22","22","22","2.918994337956824","2.918994337956824","2.918994337956824","22","22","22","2.9196683718334557","2.9196683718334557","2.9196683718334557","22","22","22","2.9203368694787697","2.9203368694787697","2.9203368694787697","22","22","22","2.9204406480065406","2.9204406480065406","2.9204406480065406"
"9","25","25","25","2.9150657901358223","2.9150657901358223","2.9150657901358223","25","25","25","2.9193058816491457","2.9193058816491457","2.9193058816491457","25","25","25","2.9194173951275375","2.9194173951275375","2.9194173951275375","25","25","25","2.9150657901358223","2.9150657901358223","2.9150657901358223","25","25","25","2.9202301741430614","2.9202301741430614","2.9202301741430614","25","25","25","2.9172697235953677","2.9172697235953677","2.9172697235953677","25","25","25","2.918227141697228","2.918227141697228","2.918227141697228","25","25","25","2.91957976185666","2.91957976185666","2.91957976185666","25","25","25","2.9190853008817057","2.9190853008817057","2.9190853008817057","25","25","25","2.9207047248736266","2.9207047248736266","2.9207047248736266","25","25","25","2.9179504183978806","2.9179504183978806","2.9179504183978806","25","25","25","2.920135401667217","2.920135401667217","2.920135401667217","25","25","25","2.9207047248736266","2.9207047248736266","2.9207047248736266","25","25","25","2.9190853008817057","2.9190853008817057","2.9190853008817057"
"10","28","28","28","2.9174893255795773","2.9174893255795773","2.9174893255795773","28","28","28","2.918819870352608","2.918819870352608","2.918819870352608","28","28","28","2.9191961463990954","2.9191961463990954","2.9191961463990954","28","28","28","2.9174893255795773","2.9174893255795773","2.9174893255795773","28","28","28","2.920199498873716","2.920199498873716","2.920199498873716","28","28","28","2.9189043821766374","2.9189043821766374","2.9189043821766374","28","28","28","2.9171701487171426","2.9171701487171426","2.9171701487171426","28","28","28","2.920202637973353","2.920202637973353","2.920202637973353","28","28","28","2.9176812399573446","2.9176812399573446","2.9176812399573446","28","28","28","2.919621296787097","2.919621296787097","2.919621296787097","28","28","28","2.9179061330792977","2.9179061330792977","2.9179061330792977","28","28","28","2.920118365391393","2.920118365391393","2.920118365391393","28","28","28","2.919621296787097","2.919621296787097","2.919621296787097","28","28","28","2.9176812399573446","2.9176812399573446","2.9176812399573446"
