"sim_time","resilient-forest-43 - _step","resilient-forest-43 - _step__MIN","resilient-forest-43 - _step__MAX","resilient-forest-43 - run/nusselt","resilient-forest-43 - run/nusselt__MIN","resilient-forest-43 - run/nusselt__MAX","hearty-shape-41 - _step","hearty-shape-41 - _step__MIN","hearty-shape-41 - _step__MAX","hearty-shape-41 - run/nusselt","hearty-shape-41 - run/nusselt__MIN","hearty-shape-41 - run/nusselt__MAX","light-glitter-39 - _step","light-glitter-39 - _step__MIN","light-glitter-39 - _step__MAX","light-glitter-39 - run/nusselt","light-glitter-39 - run/nusselt__MIN","light-glitter-39 - run/nusselt__MAX","crisp-night-37 - _step","crisp-night-37 - _step__MIN","crisp-night-37 - _step__MAX","crisp-night-37 - run/nusselt","crisp-night-37 - run/nusselt__MIN","crisp-night-37 - run/nusselt__MAX","lyric-silence-36 - _step","lyric-silence-36 - _step__MIN","lyric-silence-36 - _step__MAX","lyric-silence-36 - run/nusselt","lyric-silence-36 - run/nusselt__MIN","lyric-silence-36 - run/nusselt__MAX","dulcet-deluge-35 - _step","dulcet-deluge-35 - _step__MIN","dulcet-deluge-35 - _step__MAX","dulcet-deluge-35 - run/nusselt","dulcet-deluge-35 - run/nusselt__MIN","dulcet-deluge-35 - run/nusselt__MAX","leafy-music-34 - _step","leafy-music-34 - _step__MIN","leafy-music-34 - _step__MAX","leafy-music-34 - run/nusselt","leafy-music-34 - run/nusselt__MIN","leafy-music-34 - run/nusselt__MAX","fallen-violet-33 - _step","fallen-violet-33 - _step__MIN","fallen-violet-33 - _step__MAX","fallen-violet-33 - run/nusselt","fallen-violet-33 - run/nusselt__MIN","fallen-violet-33 - run/nusselt__MAX","autumn-thunder-32 - _step","autumn-thunder-32 - _step__MIN","autumn-thunder-32 - _step__MAX","autumn-thunder-32 - run/nusselt","autumn-thunder-32 - run/nusselt__MIN","autumn-thunder-32 - run/nusselt__MAX","lucky-dream-31 - _step","lucky-dream-31 - _step__MIN","lucky-dream-31 - _step__MAX","lucky-dream-31 - run/nusselt","lucky-dream-31 - run/nusselt__MIN","lucky-dream-31 - run/nusselt__MAX","twilight-totem-30 - _step","twilight-totem-30 - _step__MIN","twilight-totem-30 - _step__MAX","twilight-totem-30 - run/nusselt","twilight-totem-30 - run/nusselt__MIN","twilight-totem-30 - run/nusselt__MAX","misty-terrain-29 - _step","misty-terrain-29 - _step__MIN","misty-terrain-29 - _step__MAX","misty-terrain-29 - run/nusselt","misty-terrain-29 - run/nusselt__MIN","misty-terrain-29 - run/nusselt__MAX","rural-violet-28 - _step","rural-violet-28 - _step__MIN","rural-violet-28 - _step__MAX","rural-violet-28 - run/nusselt","rural-violet-28 - run/nusselt__MIN","rural-violet-28 - run/nusselt__MAX","youthful-serenity-27 - _step","youthful-serenity-27 - _step__MIN","youthful-serenity-27 - _step__MAX","youthful-serenity-27 - run/nusselt","youthful-serenity-27 - run/nusselt__MIN","youthful-serenity-27 - run/nusselt__MAX","pleasant-breeze-26 - _step","pleasant-breeze-26 - _step__MIN","pleasant-breeze-26 - _step__MAX","pleasant-breeze-26 - run/nusselt","pleasant-breeze-26 - run/nusselt__MIN","pleasant-breeze-26 - run/nusselt__MAX","hopeful-serenity-25 - _step","hopeful-serenity-25 - _step__MIN","hopeful-serenity-25 - _step__MAX","hopeful-serenity-25 - run/nusselt","hopeful-serenity-25 - run/nusselt__MIN","hopeful-serenity-25 - run/nusselt__MAX"
"1","1","1","1","2.707836743909324","2.707836743909324","2.707836743909324","1","1","1","2.712575935254256","2.712575935254256","2.712575935254256","1","1","1","2.707410734472857","2.707410734472857","2.707410734472857","1","1","1","2.7113956835103727","2.7113956835103727","2.7113956835103727","1","1","1","2.7064540348683908","2.7064540348683908","2.7064540348683908","1","1","1","2.7059794563076127","2.7059794563076127","2.7059794563076127","1","1","1","2.707410734472857","2.707410734472857","2.707410734472857","1","1","1","2.7271564413210223","2.7271564413210223","2.7271564413210223","1","1","1","2.712575935254256","2.712575935254256","2.712575935254256","1","1","1","2.723412746628519","2.723412746628519","2.723412746628519","1","1","1","2.7252228390157285","2.7252228390157285","2.7252228390157285","1","1","1","2.709733992466029","2.709733992466029","2.709733992466029","1","1","1","2.707836743909324","2.707836743909324","2.707836743909324","1","1","1","2.7271564413210223","2.7271564413210223","2.7271564413210223","1","1","1","2.704074242319933","2.704074242319933","2.704074242319933","1","1","1","2.7059794563076127","2.7059794563076127","2.7059794563076127"
"2","4","4","4","2.5205120537418604","2.5205120537418604","2.5205120537418604","4","4","4","2.54468137676949","2.54468137676949","2.54468137676949","4","4","4","2.537332145593857","2.537332145593857","2.537332145593857","4","4","4","2.5374484351797655","2.5374484351797655","2.5374484351797655","4","4","4","2.5178448438547885","2.5178448438547885","2.5178448438547885","4","4","4","2.5130779302937487","2.5130779302937487","2.5130779302937487","4","4","4","2.537332145593857","2.537332145593857","2.537332145593857","4","4","4","2.597441138150034","2.597441138150034","2.597441138150034","4","4","4","2.54468137676949","2.54468137676949","2.54468137676949","4","4","4","2.585551263325671","2.585551263325671","2.585551263325671","4","4","4","2.6009554829786663","2.6009554829786663","2.6009554829786663","4","4","4","2.5335933639016317","2.5335933639016317","2.5335933639016317","4","4","4","2.5205120537418604","2.5205120537418604","2.5205120537418604","4","4","4","2.597441138150034","2.597441138150034","2.597441138150034","4","4","4","2.5138334378391396","2.5138334378391396","2.5138334378391396","4","4","4","2.5130779302937487","2.5130779302937487","2.5130779302937487"
"3","7","7","7","2.385836270187733","2.385836270187733","2.385836270187733","7","7","7","2.440985502609747","2.440985502609747","2.440985502609747","7","7","7","2.430911849413656","2.430911849413656","2.430911849413656","7","7","7","2.4250107337522597","2.4250107337522597","2.4250107337522597","7","7","7","2.3811801449496857","2.3811801449496857","2.3811801449496857","7","7","7","2.369891666106271","2.369891666106271","2.369891666106271","7","7","7","2.430911849413656","2.430911849413656","2.430911849413656","7","7","7","2.553562904041488","2.553562904041488","2.553562904041488","7","7","7","2.440985502609747","2.440985502609747","2.440985502609747","7","7","7","2.528247336937097","2.528247336937097","2.528247336937097","7","7","7","2.559880299597085","2.559880299597085","2.559880299597085","7","7","7","2.412759184128638","2.412759184128638","2.412759184128638","7","7","7","2.385836270187733","2.385836270187733","2.385836270187733","7","7","7","2.553562904041488","2.553562904041488","2.553562904041488","7","7","7","2.37508660950484","2.37508660950484","2.37508660950484","7","7","7","2.369891666106271","2.369891666106271","2.369891666106271"
"4","10","10","10","2.4052963384741375","2.4052963384741375","2.4052963384741375","10","10","10","2.47870387499875","2.47870387499875","2.47870387499875","10","10","10","2.462093970348467","2.462093970348467","2.462093970348467","10","10","10","2.4567492940431754","2.4567492940431754","2.4567492940431754","10","10","10","2.399949821590582","2.399949821590582","2.399949821590582","10","10","10","2.385331390353632","2.385331390353632","2.385331390353632","10","10","10","2.462093970348467","2.462093970348467","2.462093970348467","10","10","10","2.6204523818008414","2.6204523818008414","2.6204523818008414","10","10","10","2.47870387499875","2.47870387499875","2.47870387499875","10","10","10","2.5829833619048594","2.5829833619048594","2.5829833619048594","10","10","10","2.6154414788265905","2.6154414788265905","2.6154414788265905","10","10","10","2.4355311598477645","2.4355311598477645","2.4355311598477645","10","10","10","2.4052963384741375","2.4052963384741375","2.4052963384741375","10","10","10","2.6204523818008414","2.6204523818008414","2.6204523818008414","10","10","10","2.3940288458619015","2.3940288458619015","2.3940288458619015","10","10","10","2.385331390353632","2.385331390353632","2.385331390353632"
"5","13","13","13","2.4798522768922164","2.4798522768922164","2.4798522768922164","13","13","13","2.5551614757592653","2.5551614757592653","2.5551614757592653","13","13","13","2.5266590623279295","2.5266590623279295","2.5266590623279295","13","13","13","2.5290715502704857","2.5290715502704857","2.5290715502704857","13","13","13","2.4732743503164247","2.4732743503164247","2.4732743503164247","13","13","13","2.458629994284805","2.458629994284805","2.458629994284805","13","13","13","2.5266590623279295","2.5266590623279295","2.5266590623279295","13","13","13","2.6924322877070526","2.6924322877070526","2.6924322877070526","13","13","13","2.5551614757592653","2.5551614757592653","2.5551614757592653","13","13","13","2.645917273595282","2.645917273595282","2.645917273595282","13","13","13","2.668057754149029","2.668057754149029","2.668057754149029","13","13","13","2.5036068129517304","2.5036068129517304","2.5036068129517304","13","13","13","2.4798522768922164","2.4798522768922164","2.4798522768922164","13","13","13","2.6924322877070526","2.6924322877070526","2.6924322877070526","13","13","13","2.4682208122657454","2.4682208122657454","2.4682208122657454","13","13","13","2.458629994284805","2.458629994284805","2.458629994284805"
"6","16","16","16","2.540196702039005","2.540196702039005","2.540196702039005","16","16","16","2.610537359659224","2.610537359659224","2.610537359659224","16","16","16","2.5651413250456123","2.5651413250456123","2.5651413250456123","16","16","16","2.578980355339009","2.578980355339009","2.578980355339009","16","16","16","2.530412234331897","2.530412234331897","2.530412234331897","16","16","16","2.5166439027422114","2.5166439027422114","2.5166439027422114","16","16","16","2.5651413250456123","2.5651413250456123","2.5651413250456123","16","16","16","2.617802515400895","2.617802515400895","2.617802515400895","16","16","16","2.610537359659224","2.610537359659224","2.610537359659224","16","16","16","2.679610183356005","2.679610183356005","2.679610183356005","16","16","16","2.5823958126135125","2.5823958126135125","2.5823958126135125","16","16","16","2.5547301100829216","2.5547301100829216","2.5547301100829216","16","16","16","2.540196702039005","2.540196702039005","2.540196702039005","16","16","16","2.617802515400895","2.617802515400895","2.617802515400895","16","16","16","2.5250978965076643","2.5250978965076643","2.5250978965076643","16","16","16","2.5166439027422114","2.5166439027422114","2.5166439027422114"
"7","19","19","19","2.567443592572481","2.567443592572481","2.567443592572481","19","19","19","2.6306637844993017","2.6306637844993017","2.6306637844993017","19","19","19","2.566159314692103","2.566159314692103","2.566159314692103","19","19","19","2.5914868245574016","2.5914868245574016","2.5914868245574016","19","19","19","2.5527503203037187","2.5527503203037187","2.5527503203037187","19","19","19","2.539275040576251","2.539275040576251","2.539275040576251","19","19","19","2.566159314692103","2.566159314692103","2.566159314692103","19","19","19","2.409671201171475","2.409671201171475","2.409671201171475","19","19","19","2.6306637844993017","2.6306637844993017","2.6306637844993017","19","19","19","2.57708155281541","2.57708155281541","2.57708155281541","19","19","19","2.374683133691556","2.374683133691556","2.374683133691556","19","19","19","2.5737565428126374","2.5737565428126374","2.5737565428126374","19","19","19","2.567443592572481","2.567443592572481","2.567443592572481","19","19","19","2.409671201171475","2.409671201171475","2.409671201171475","19","19","19","2.5458060821474913","2.5458060821474913","2.5458060821474913","19","19","19","2.539275040576251","2.539275040576251","2.539275040576251"
"8","22","22","22","2.5364210376624903","2.5364210376624903","2.5364210376624903","22","22","22","2.583941983120374","2.583941983120374","2.583941983120374","22","22","22","2.5094320154796774","2.5094320154796774","2.5094320154796774","22","22","22","2.5397107055713777","2.5397107055713777","2.5397107055713777","22","22","22","2.516033105569653","2.516033105569653","2.516033105569653","22","22","22","2.5028139384334773","2.5028139384334773","2.5028139384334773","22","22","22","2.5094320154796774","2.5094320154796774","2.5094320154796774","22","22","22","2.1642466018664788","2.1642466018664788","2.1642466018664788","22","22","22","2.583941983120374","2.583941983120374","2.583941983120374","22","22","22","2.3229212856984645","2.3229212856984645","2.3229212856984645","22","22","22","2.1421053374415395","2.1421053374415395","2.1421053374415395","22","22","22","2.5363773792680755","2.5363773792680755","2.5363773792680755","22","22","22","2.5364210376624903","2.5364210376624903","2.5364210376624903","22","22","22","2.1642466018664788","2.1642466018664788","2.1642466018664788","22","22","22","2.5059182653224585","2.5059182653224585","2.5059182653224585","22","22","22","2.5028139384334773","2.5028139384334773","2.5028139384334773"
"9","25","25","25","2.464161781944048","2.464161781944048","2.464161781944048","25","25","25","2.477680078852924","2.477680078852924","2.477680078852924","25","25","25","2.4197832947762277","2.4197832947762277","2.4197832947762277","25","25","25","2.4407160986742773","2.4407160986742773","2.4407160986742773","25","25","25","2.440434367152127","2.440434367152127","2.440434367152127","25","25","25","2.4301586267267923","2.4301586267267923","2.4301586267267923","25","25","25","2.4197832947762277","2.4197832947762277","2.4197832947762277","25","25","25","2.0124969396866472","2.0124969396866472","2.0124969396866472","25","25","25","2.477680078852924","2.477680078852924","2.477680078852924","25","25","25","2.0611781372658338","2.0611781372658338","2.0611781372658338","25","25","25","2.0101405439188786","2.0101405439188786","2.0101405439188786","25","25","25","2.4595794517949474","2.4595794517949474","2.4595794517949474","25","25","25","2.464161781944048","2.464161781944048","2.464161781944048","25","25","25","2.0124969396866472","2.0124969396866472","2.0124969396866472","25","25","25","2.4264749032881188","2.4264749032881188","2.4264749032881188","25","25","25","2.4301586267267923","2.4301586267267923","2.4301586267267923"
"10","28","28","28","2.398917371355095","2.398917371355095","2.398917371355095","28","28","28","2.3721558599604013","2.3721558599604013","2.3721558599604013","28","28","28","2.357150135472762","2.357150135472762","2.357150135472762","28","28","28","2.3557851991585554","2.3557851991585554","2.3557851991585554","28","28","28","2.376788372044152","2.376788372044152","2.376788372044152","28","28","28","2.372508532478148","2.372508532478148","2.372508532478148","28","28","28","2.357150135472762","2.357150135472762","2.357150135472762","28","28","28","1.9577629874477398","1.9577629874477398","1.9577629874477398","28","28","28","2.3721558599604013","2.3721558599604013","2.3721558599604013","28","28","28","1.9462688540792368","1.9462688540792368","1.9462688540792368","28","28","28","1.9814026143116281","1.9814026143116281","1.9814026143116281","28","28","28","2.3943297278019307","2.3943297278019307","2.3943297278019307","28","28","28","2.398917371355095","2.398917371355095","2.398917371355095","28","28","28","1.9577629874477398","1.9577629874477398","1.9577629874477398","28","28","28","2.359802037600195","2.359802037600195","2.359802037600195","28","28","28","2.372508532478148","2.372508532478148","2.372508532478148"
